pair|word_a|meaning_a|word_b|meaning_b|exportedAt|status|knownAt|s1|s2|s3
affect / effect|affect|влиять (глагол)|effect|эффект; результат (сущ.)|2026-04-02|learning||The rain **affected** our plans.|The medicine had no **effect** on him.|How will this **affect** the team?
advise / advice|advise|советовать (глагол)|advice|совет (сущ.)|2026-04-02|learning||I **advise** you to rest.|She gave me good **advice**.|He **advised** me to wait.
borrow / lend|borrow|брать взаймы|lend|давать взаймы|2026-04-02|learning||Can I **borrow** your pen?|She **lent** me her umbrella.|I **borrowed** money from the bank.
say / tell|say|сказать (+ слова)|tell|рассказать; сказать (+ кому)|2026-04-02|learning||She **said** hello.|He **told** me the truth.|What did she **say** to you?
do / make|do|делать (действие)|make|создавать; производить|2026-04-02|learning||She **does** her homework every day.|He **made** a big mistake.|I need to **do** the dishes.
rise / raise|rise|подниматься (без объекта)|raise|поднимать (с объектом)|2026-04-02|learning||The sun **rises** in the east.|She **raised** her hand.|Prices **rose** by 10% last year.
lie / lay|lie|лежать; лгать|lay|класть; положить|2026-04-02|learning||The book **lies** on the table.|She **laid** the baby on the bed.|Don't **lie** to me.
bring / take|bring|принести (сюда)|take|забрать; унести (туда)|2026-04-02|learning||**Bring** me a glass of water.|**Take** this letter to the office.|She **brought** flowers to the party.
hear / listen|hear|слышать (пассивно)|listen|слушать (активно)|2026-04-02|learning||I can **hear** music from next door.|**Listen** to this song.|Did you **hear** the news?
look / see / watch|look|смотреть (направить взгляд)|see|видеть (воспринимать)|watch|наблюдать; смотреть (внимательно)|**Look** at that bird!|I **saw** her at the shop yesterday.|She **watches** TV every evening.|
remind / remember|remind|напоминать (кому-то)|remember|помнить|2026-04-02|learning||**Remind** me to call her.|I **remember** our first meeting.|She **reminded** him about the party.
rob / steal|rob|ограбить (кого/что)|steal|украсть (что)|2026-04-02|learning||They **robbed** the bank.|Someone **stole** my wallet.|He was **robbed** on the way home.
speak / talk|speak|говорить (формально)|talk|разговаривать; болтать|2026-04-02|learning||She **speaks** three languages.|We **talked** for hours.|Can I **speak** to the manager?
travel / trip / journey|travel|путешествовать (глагол)|trip|поездка (короткая)|journey|путь; дорога|I love to **travel**.|We had a great **trip** to Paris.|The **journey** took five hours.|
fun / funny|fun|весёлый; веселье|funny|смешной|2026-04-02|learning||The party was really **fun**.|He told a **funny** joke.|We had a lot of **fun** at the beach.
hard / hardly|hard|тяжело; усердно|hardly|едва; почти не|2026-04-02|learning||She works very **hard**.|I can **hardly** hear you.|He studied **hard** for the exam.
late / lately|late|поздно|lately|в последнее время|2026-04-02|learning||He arrived **late** again.|I haven't seen her **lately**.|The train was 20 minutes **late**.
near / nearly|near|рядом; близко|nearly|почти|2026-04-02|learning||The shop is **near** my house.|She **nearly** missed the bus.|Is there a bank **near** here?
high / highly|high|высоко|highly|очень; весьма|2026-04-02|learning||The plane flew **high** above the clouds.|She is **highly** qualified.|He jumped **high** into the air.
wide / widely|wide|широко (буквально)|widely|широко (распространённо)|2026-04-02|learning||Open the door **wide**.|The book is **widely** read.|Her eyes were **wide** with surprise.
loose / lose|loose|свободный; не тугой|lose|терять; проигрывать|2026-04-02|learning||These jeans are too **loose**.|Don't **lose** your keys.|The screw is **loose** — tighten it.
quiet / quite|quiet|тихий|quite|довольно; весьма|2026-04-02|learning||The room was very **quiet**.|The film was **quite** good.|Please be **quiet** during the test.
beside / besides|beside|рядом с|besides|кроме того|2026-04-02|learning||She sat **beside** me.|**Besides**, I don't have time.|The cat sat **beside** the fire.
accept / except|accept|принимать|except|кроме|2026-04-02|learning||I **accept** your offer.|Everyone came **except** Tom.|She **accepted** the invitation.
assure / ensure / insure|assure|заверить (человека)|ensure|убедиться; обеспечить|insure|застраховать|I **assure** you it's safe.|Please **ensure** the door is locked.|You should **insure** your car.|
complement / compliment|complement|дополнять|compliment|комплимент|2026-04-02|learning||The wine **complements** the cheese.|She paid him a **compliment**.|Red **complements** the outfit perfectly.
principal / principle|principal|директор; главный|principle|принцип|2026-04-02|learning||The **principal** gave a speech.|It's a matter of **principle**.|She's the **principal** of the school.
stationary / stationery|stationary|неподвижный|stationery|канцтовары|2026-04-02|learning||The car was **stationary** at the lights.|I need to buy some **stationery**.|The train remained **stationary** for ten minutes.
continuous / continual|continuous|непрерывный|continual|повторяющийся|2026-04-02|learning||There was a **continuous** flow of water.|His **continual** interruptions annoyed everyone.|The **continuous** noise kept me awake.
economic / economical|economic|экономический|economical|экономичный; бережливый|2026-04-02|learning||The **economic** situation is improving.|This car is very **economical** on fuel.|**Economic** growth slowed last year.
historic / historical|historic|исторический (важный)|historical|исторический (связанный с историей)|2026-04-02|learning||It was a **historic** moment for the country.|She reads **historical** novels.|The **historic** building was restored.
sensible / sensitive|sensible|разумный; здравомыслящий|sensitive|чувствительный|2026-04-02|learning||That's a very **sensible** decision.|She's quite **sensitive** about her weight.|Wear **sensible** shoes for hiking.
used to / be used to|used to|раньше (привычка в прошлом)|be used to|привыкший к|2026-04-02|learning||I **used to** live in London.|She **is used to** working late.|He **used to** smoke, but he quit.
each other / one another|each other|друг друга (двое)|one another|друг друга (несколько)|2026-04-02|learning||They love **each other**.|The students helped **one another**.|We see **each other** every week.
few / a few / little / a little|few|мало (почти нет)|a few|несколько (немного, но есть)|2026-04-02|learning||She has **few** friends here.|I have **a few** questions.|There's **little** time left.
much / many / a lot of|much|много (неисчисл.)|many|много (исчисл.)|2026-04-02|learning||She doesn't drink **much** coffee.|**Many** students failed the exam.|There's **a lot of** traffic today.
farther / further|farther|дальше (расстояние)|further|дальше (абстрактно); дополнительный|2026-04-02|learning||The hotel is **farther** than I thought.|We need **further** information.|Let's discuss this **further** tomorrow.
older / elder|older|старше (общее)|elder|старший (в семье)|2026-04-02|learning||She's two years **older** than me.|My **elder** sister lives in Paris.|He's the **older** of the two brothers.
last / latest|last|последний (конечный)|latest|последний (самый новый)|2026-04-02|learning||This is the **last** question.|Have you heard the **latest** news?|He was the **last** person to leave.
classic / classical|classic|классический (отличный; типичный)|classical|классический (период; жанр)|2026-04-02|learning||That's a **classic** mistake.|She enjoys **classical** music.|It was a **classic** film from the 1960s.
among / between|among|среди (трёх и более)|between|между (двумя)|2026-04-02|learning||She sat **between** Tom and Sarah.|**Among** all the candidates, she was the best.|The secret stayed **between** the two of them.
already / yet / still|already|уже|yet|ещё (в отрицаниях и вопросах)|still|всё ещё|She's **already** left.|Has he called **yet**?|I'm **still** waiting for a reply.|
also / too / as well|also|тоже (формальнее)|too|тоже (конец предложения)|as well|тоже (конец предложения)|She **also** speaks French.|I'd like some coffee **too**.|He came **as well**.|
maybe / may be|maybe|может быть (наречие)|may be|может быть (глагол)|2026-04-02|learning||**Maybe** she'll come later.|He **may be** late today.|**Maybe** we should wait.
sometime / sometimes / some time|sometime|когда-нибудь|sometimes|иногда|some time|некоторое время|Let's meet **sometime** next week.|She **sometimes** works from home.|I need **some time** to think.|
whether / if|whether|ли (два варианта)|if|если; ли|2026-04-02|learning||I don't know **whether** to go or stay.|**If** it rains, we'll stay home.|Tell me **whether** you agree.
although / despite|although|хотя (+ предложение)|despite|несмотря на (+ сущ.)|2026-04-02|learning||**Although** she was tired, she kept working.|**Despite** the rain, we went out.|**Although** it's cold, I'll walk.
so / such|so|так; такой (+ прил.)|such|такой (+ сущ.)|2026-04-02|learning||It was **so** cold outside.|She's **such** a kind person.|The film was **so** boring.
enough / too|enough|достаточно|too|слишком|2026-04-02|learning||Is this box big **enough**?|It's **too** hot to go out.|She's old **enough** to drive.