english_word|ipa|false_meaning|real_meaning|russian_word|exportedAt|status|knownAt|s1|s2|s3|family
accurate|/ˈæk.jə.ɹɪt/|аккуратный|точный|точный (аккуратный = neat/tidy)|2026-04-02|learning||The data must be **accurate**.|Her report was very **accurate**.|Is this information **accurate**?|accuracy (n.), accurately (adv.), inaccurate (adj.)
actual|/ˈak(t)ʃj(ʊ)əl/|актуальный|фактический; настоящий|фактический (актуальный = current/relevant)|2026-04-02|known|2026-04-09|The **actual** cost was higher than expected.|What's the **actual** reason?|In **actual** fact, she was right.|actually (adv.), actuality (n.)
magazine|/mæɡəˈziːn/|магазин|журнал|журнал (магазин = shop/store)|2026-04-02|learning||She reads a fashion **magazine** every week.|I bought a **magazine** at the airport.|There's an interesting article in this **magazine**.|
fabric|/ˈfæb.ɹɪk/|фабрика|ткань|ткань (фабрика = factory)|2026-04-02|learning||The dress is made of silk **fabric**.|This **fabric** is very soft.|What kind of **fabric** is this shirt?|fabricate (v.), fabrication (n.)
prospect|/ˈpɹɒspɛkt/|проспект|перспектива; возможность|перспектива (проспект = avenue/boulevard)|2026-04-02|learning||The job **prospects** are good in this field.|There's a **prospect** of promotion.|The **prospect** of moving excited her.|prospective (adj.), prospector (n.)
sympathy|/ˈsɪmpəθi/|симпатия|сочувствие; сострадание|сочувствие (симпатия = liking/attraction)|2026-04-02|learning||She showed great **sympathy** for the victims.|I have no **sympathy** for cheaters.|He expressed his **sympathy** after the loss.|sympathize (v.), sympathetic (adj.), sympathetically (adv.)
intelligent|/ɪnˈtɛlɪd͡ʒənt/|интеллигентный|умный|умный (интеллигентный = cultured/refined)|2026-04-02|learning||She's a very **intelligent** woman.|The child is **intelligent** beyond his years.|That was an **intelligent** answer.|intelligence (n.), intelligently (adv.), unintelligent (adj.)
cabinet|/ˈkæ.bɪ.nɪt/|кабинет|шкафчик; кабинет министров|шкафчик (кабинет = office/study)|2026-04-02|learning||Put the cups in the **cabinet**.|The medicine is in the bathroom **cabinet**.|The **cabinet** met to discuss the budget.|
camera|/ˈkæməɹə/|камера|фотоаппарат|фотоаппарат (камера = cell/chamber)|2026-04-02|learning||I forgot my **camera** at home.|She bought a new digital **camera**.|The **camera** takes great photos.|
data|/ˈdaetə/|дата|данные|данные (дата = date)|2026-04-02|known|2026-04-09|The **data** shows a clear trend.|We need more **data** to be sure.|The company collects customer **data**.|database (n.)
genial|/ˈdʒiːnɪəl/|гениальный|приветливый; добродушный|приветливый (гениальный = genius/brilliant)|2026-04-02|learning||He's a very **genial** man.|She gave us a **genial** smile.|The host was warm and **genial**.|geniality (n.), genially (adv.)
complexion|/kəmˈplɛkʃən/|комплекция|цвет лица|цвет лица (комплекция = build/physique)|2026-04-02|learning||She has a beautiful **complexion**.|The cream improves your **complexion**.|His **complexion** was pale after the illness.|
conductor|/kənˈdʌktɚ/|кондуктор|дирижёр; проводник|дирижёр (кондуктор = ticket inspector)|2026-04-02|learning||The **conductor** raised his baton.|He's a famous orchestra **conductor**.|Copper is a good **conductor** of electricity.|conduct (v., n.), conduction (n.), conductive (adj.)
list|/lɪst/|лист|список|список (лист = leaf/sheet)|2026-04-02|known|2026-04-09|I made a **list** of things to buy.|Her name wasn't on the **list**.|Check the **list** before you leave.|listing (n.)
novel|/ˈnɒvl̩/|новелла|роман|роман (новелла = novella/short story)|2026-04-02|learning||She's reading a detective **novel**.|He wrote his first **novel** at 25.|It's a long **novel** — over 500 pages.|novelist (n.), novelty (n.)
paragraph|/ˈpæɹəɡɹɑːf/|параграф|абзац|абзац (параграф = clause/section)|2026-04-02|learning||Read the first **paragraph** again.|Each **paragraph** has a topic sentence.|The answer is in the third **paragraph**.|
patron|/ˈpeɪ.tɹən/|патрон|покровитель; постоянный клиент|покровитель (патрон = cartridge/boss)|2026-04-02|learning||She's a **patron** of the arts.|He's a regular **patron** of this cafe.|The museum thanked its **patrons**.|patronage (n.), patronize (v.)
receipt|/ɹɪˈsiːt/|рецепт|квитанция; чек|квитанция (рецепт = recipe/prescription)|2026-04-02|learning||Keep the **receipt** in case you want a refund.|Can I have a **receipt**, please?|The **receipt** shows the date and amount.|receive (v.), receiver (n.), reception (n.)
replica|/ˈɹɛplɪkə/|реплика|копия; точная модель|копия (реплика = remark/line)|2026-04-02|learning||The museum has a **replica** of the painting.|This is a **replica** of an ancient sword.|She bought a **replica** of the Eiffel Tower.|replicate (v.), replication (n.)
resume|/ɹəˈzjuːm/|резюме|возобновить (CV = резюме)|возобновить (резюме = CV)|2026-04-02|learning||We will **resume** the meeting after lunch.|The game **resumed** after the rain stopped.|She **resumed** her work after the break.|resumption (n.)
stamp|/stæmp/|штамп|марка; печать|марка (штамп = rubber stamp)|2026-04-02|learning||I need a **stamp** for this letter.|She collects **stamps** from around the world.|Put a **stamp** on the envelope.|stamping (v., n.), stamped (v.)
brilliant|/ˈbɹɪljənt/|бриллиант|блестящий; гениальный|блестящий (бриллиант = diamond)|2026-04-02|learning||That's a **brilliant** idea!|She's a **brilliant** scientist.|The sunset was **brilliant**.|brilliance (n.), brilliantly (adv.)
insult|/ɪnˈsʌlt/|инсульт|оскорбление|оскорбление (инсульт = stroke)|2026-04-02|learning||His comment was a terrible **insult**.|She didn't mean to **insult** you.|He took it as a personal **insult**.|insulting (adj.), insultingly (adv.)
lunatic|/ˈluːnətɪk/|лунатик|сумасшедший; безумец|сумасшедший (лунатик = sleepwalker)|2026-04-02|learning||He drives like a **lunatic**.|Only a **lunatic** would swim in this weather.|That was a **lunatic** decision.|lunacy (n.)
pretend|/pɹɪˈtɛnd/|претендовать|притворяться|притворяться (претендовать = claim/aspire)|2026-04-02|learning||Don't **pretend** you didn't hear me.|She **pretended** to be asleep.|He **pretends** to know everything.|pretence (n.), pretension (n.), pretentious (adj.)
realize|/ˈɹɪə.laɪz/|реализовать|осознать; понять|осознать (реализовать = implement/fulfil)|2026-04-02|learning||I didn't **realize** how late it was.|She **realized** her mistake immediately.|He finally **realized** the truth.|realization (n.), realistic (adj.), reality (n.), really (adv.)
routine|/ɹuːˈtiːn/|рутина|распорядок; обычный|распорядок (рутина = boring routine)|2026-04-02|learning||What's your morning **routine**?|It was a **routine** check by the doctor.|She follows the same **routine** every day.|routinely (adv.)
scholar|/ˈskɒlə/|школьник|учёный; стипендиат|учёный (школьник = pupil/schoolchild)|2026-04-02|learning||He's a well-known **scholar** of history.|She won a **scholar**ship to Oxford.|The **scholars** published a new study.|scholarly (adj.), scholarship (n.)
speculate||спекулировать|предполагать; размышлять|предполагать (спекулировать = profiteer)|2026-04-02|learning||It's too early to **speculate** about the results.|The press **speculated** about the reason.|Don't **speculate** without evidence.|speculation (n.), speculative (adj.), speculator (n.)
technique|/tɛkˈniːk/|техника|техника; метод; приём|метод (техника = technology/equipment)|2026-04-02|learning||She uses a special **technique** for painting.|This **technique** saves a lot of time.|He taught me a new cooking **technique**.|technical (adj.), technically (adv.), technician (n.)
trace|/tɹeɪs/|трасса|след; отследить|след (трасса = track/highway)|2026-04-02|learning||There was no **trace** of the missing person.|Police **traced** the call to a mobile phone.|She found **traces** of paint on the floor.|traceable (adj.), untraceable (adj.)
translate|/ˈtɹɛnzlæet/|транслировать|переводить|переводить (транслировать = broadcast)|2026-04-02|learning||Can you **translate** this into English?|She **translated** the letter for us.|The book was **translated** into 30 languages.|translation (n.), translator (n.)
baton|/ˈbætɒn/|батон|жезл; палочка дирижёра|жезл (батон = loaf of bread)|2026-04-02|learning||The police officer raised his **baton**.|The conductor picked up his **baton**.|She passed the **baton** to the next runner.|
decade|/dəˈkeɪd/|декада|десятилетие|десятилетие (декада = ten days)|2026-04-02|learning||She lived abroad for a **decade**.|The last **decade** saw huge changes.|He's been teaching for over a **decade**.|
decoration|/ˌdɛkəˈɹeɪʃən/|декорация|украшение|украшение (декорация = scenery/set)|2026-04-02|learning||The room had beautiful Christmas **decorations**.|She likes simple **decoration** in her home.|They put up **decorations** for the party.|decorate (v.), decorative (adj.), decorator (n.)
direction|/d(a)ɪˈɹɛk.ʃən/|дирекция|направление|направление (дирекция = management)|2026-04-02|learning||Can you give me **directions** to the station?|The wind changed **direction**.|She walked in the **direction** of the park.|direct (v., adj.), directly (adv.), director (n.), indirect (adj.)
mayor|/ˈmeɪ.ə/|майор|мэр|мэр (майор = major)|2026-04-02|learning||The **mayor** opened the new park.|She was elected **mayor** last year.|The **mayor** gave a speech at the ceremony.|mayoral (adj.)
physician|/fɪˈzɪʃən/|физик|врач|врач (физик = physicist)|2026-04-02|learning||She went to see her **physician**.|The **physician** prescribed some medicine.|He's been her family **physician** for years.|physical (adj.), physically (adv.), physics (n.)
anecdote|/ˈæ.nɪk.doʊt/|анекдот|история из жизни|история (анекдот = joke)|2026-04-11|learning|||He told a funny **anecdote** about his trip.|She shared an **anecdote** from her childhood.|The book is full of interesting **anecdotes**.|
artist|/ˈɑːtɪst/|артист|художник|художник (артист = performer)|2026-04-11|learning|||The **artist** painted a beautiful picture.|She is a famous **artist**.|The **artist** sold his work at the gallery.|
band|/bænd/|банда|группа (музыкальная)|муз. группа (банда = gang)|2026-04-11|learning|||The **band** played great music.|She sings in a rock **band**.|The **band** has five members.|
cabin|/ˈkæbɪn/|кабина|хижина; каюта|хижина (кабина = booth/cockpit)|2026-04-11|learning|||We stayed in a small **cabin** by the lake.|The **cabin** was made of wood.|He rented a **cabin** in the mountains.|
clay|/kleɪ/|клей|глина|глина (клей = glue)|2026-04-11|learning|||She made a pot from **clay**.|The children played with **clay**.|The **clay** was soft and wet.|
concrete|/kɵnˈkɹiːt/|конкретный|бетон; конкретный|бетон (конкретный = specific)|2026-04-11|learning|||The wall is made of **concrete**.|They poured **concrete** for the floor.|The **concrete** is very strong.|
marmalade|/ˈmɑː.mə.leɪd/|мармелад|апельсиновый джем|апельсиновый джем (мармелад = fruit jelly candy)|2026-04-11|learning|||She put **marmalade** on her toast.|I like orange **marmalade**.|He bought a jar of **marmalade**.|
preservative||презерватив|консервант|консервант (презерватив = condom)|2026-04-11|learning|||This food has no **preservatives**.|**Preservatives** keep food fresh longer.|She avoids products with **preservatives**.|
velvet|/ˈvɛlvɪt/|вельвет|бархат|бархат (вельвет = corduroy)|2026-04-11|learning|||She wore a **velvet** dress.|The chair was covered in red **velvet**.|The **velvet** felt soft to the touch.|
compositor|/kəmˈpɒzɪtə(ɹ)/|композитор|наборщик текста|наборщик (композитор = composer)|2026-04-11|learning|||The **compositor** set the type for the newspaper.|A **compositor** arranges text for printing.|The job of a **compositor** is now digital.|
mark|/mɑɹk/|марка|оценка; след|оценка (марка = stamp/brand)|2026-04-11|learning|||She got a good **mark** on the test.|There was a **mark** on the wall.|He left a **mark** on the paper.|
accurate|/ˈæk.jə.ɹɪt/|аккуратный|точный|точный (аккуратный = neat/tidy)|2026-04-02|learning||The report must be **accurate**.|Her answer was very **accurate**.|Is this information **accurate**?|accuracy (n.), accurately (adv.), inaccurate (adj.)