idiom|translation|exportedAt|status|knownAt|s1|s2|s3|note
give it a shot|попробовать|2026-04-02|learning||I've never tried yoga but I'll **give it a shot**.|Why not **give it a shot**?|She decided to **give it a shot**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
go with the flow|плыть по течению|2026-04-02|learning||Don't stress about plans — just **go with the flow**.|She's the type to **go with the flow**.|Let's **go with the flow** today.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
have second thoughts|засомневаться|2026-04-02|learning||I'm **having second thoughts** about the trip.|She **had second thoughts** about accepting the offer.|He never **has second thoughts** — he just does it.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
in hot water|в беде; в неприятностях|2026-04-02|learning||He's **in hot water** with his boss.|She got **in hot water** for being late.|You'll be **in hot water** if they find out.|Informal. В беде, в неприятностях. Часто из-за своих действий. "He is in hot water with his boss".
keep an eye on|следить за|2026-04-02|learning||Can you **keep an eye on** my bag?|She **keeps an eye on** the children.|**Keep an eye on** the time.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
know something inside out|знать как свои пять пальцев|2026-04-02|learning||She **knows** this subject **inside out**.|He **knows** the city **inside out**.|I **know** the rules **inside out**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
learn the ropes|освоиться; войти в курс дела|2026-04-02|learning||It takes a few weeks to **learn the ropes**.|She's still **learning the ropes** at her new job.|He **learned the ropes** quickly.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
lose track of time|потерять счёт времени|2026-04-02|learning||Sorry I'm late — I **lost track of time**.|She always **loses track of time** when reading.|I **lost track of time** at the gym.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
make a long story short|короче говоря|2026-04-02|learning||To **make a long story short**, we got lost.|**Long story short**, she got the job.|**To make a long story short**, everything worked out.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
no strings attached|без обязательств|2026-04-02|learning||The offer comes **with no strings attached**.|She gave the gift **with no strings attached**.|It's a free trial, **no strings attached**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
on the bright side|если посмотреть с хорошей стороны|2026-04-02|learning||**On the bright side**, we still have time.|We lost the game but **on the bright side**, we played well.|**On the bright side**, nobody was hurt.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
over the moon|на седьмом небе от счастья|2026-04-02|learning||She was **over the moon** when she got the job.|He's **over the moon** about the baby.|We were **over the moon** with the results.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
practice makes perfect|повторение -- мать учения|2026-04-02|learning||Keep playing — **practice makes perfect**.|Don't give up — **practice makes perfect**.|She plays every day because **practice makes perfect**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
rain or shine|в любую погоду; несмотря ни на что|2026-04-02|learning||The event will happen **rain or shine**.|He goes jogging every day, **rain or shine**.|**Rain or shine**, I'll be there.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
rule of thumb|общее правило; практический принцип|2026-04-02|learning||As **a rule of thumb**, arrive ten minutes early.|**The rule of thumb** is to save 20% of your salary.|That's a good **rule of thumb** for beginners.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
save face|сохранить лицо|2026-04-02|learning||He lied to **save face** in front of his friends.|She tried to **save face** after the mistake.|It's important to **save face** in that culture.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
so far so good|пока всё хорошо|2026-04-02|learning||How's the project? **So far, so good.**|**So far, so good** — no problems yet.|The new diet? **So far, so good**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
the bottom line|суть; итог|2026-04-02|learning||**The bottom line** is we need more money.|What's **the bottom line** here?|**The bottom line** is that we have to act now.|Business / formal. Подходит для рабочей среды и презентаций. Часто используется на встречах и в деловой переписке.
through thick and thin|и в горе, и в радости|2026-04-02|learning||She supported me **through thick and thin**.|They've been friends **through thick and thin**.|He stayed loyal **through thick and thin**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
under pressure|под давлением|2026-04-02|learning||She works well **under pressure**.|Don't make decisions **under pressure**.|He cracked **under pressure** during the exam.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
up to speed|в курсе дела|2026-04-02|learning||Let me bring you **up to speed** on the project.|Are you **up to speed** with the changes?|It took a week to get **up to speed**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
word of mouth|из уст в уста; сарафанное радио|2026-04-02|learning||The restaurant became popular through **word of mouth**.|**Word of mouth** is the best advertising.|She heard about it by **word of mouth**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
at stake|на кону|2026-04-02|learning||A lot of money is **at stake**.|Jobs are **at stake** if the company fails.|There's too much **at stake** to take risks.|Business / formal. Подходит для рабочей среды и презентаций. Часто используется на встречах и в деловой переписке.
back to basics|назад к основам|2026-04-02|learning||Let's go **back to basics** and fix the foundation.|The team went **back to basics** after the loss.|Sometimes you need to go **back to basics**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
come to terms with|смириться с|2026-04-02|learning||She's trying to **come to terms with** the loss.|It took him years to **come to terms with** the truth.|I've finally **come to terms with** it.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
from scratch|с нуля|2026-04-02|learning||She built the business **from scratch**.|I made the cake **from scratch**.|We had to start **from scratch** after the crash.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
get your act together|взять себя в руки|2026-04-02|learning||You need to **get your act together** before the exam.|She finally **got her act together** and passed.|**Get your act together** or you'll be fired.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
go the distance|довести до конца; выдержать|2026-04-02|learning||He's got what it takes to **go the distance**.|She **went the distance** and finished the marathon.|Do you think they can **go the distance**?|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
have a change of pace|сменить обстановку|2026-04-02|learning||I need to **have a change of pace** from office work.|A weekend away will give you **a change of pace**.|She moved to the countryside for **a change of pace**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
in the long run|в долгосрочной перспективе|2026-04-02|learning||This investment will pay off **in the long run**.|**In the long run**, it's better to buy than rent.|Exercise helps **in the long run**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
keep a low profile|не привлекать внимания|2026-04-02|learning||After the scandal, he **kept a low profile**.|She prefers to **keep a low profile** at work.|**Keep a low profile** until things calm down.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
leave it at that|оставить как есть|2026-04-02|learning||Let's just **leave it at that** and move on.|We disagreed but decided to **leave it at that**.|I don't want to argue — let's **leave it at that**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
a stone's throw|в двух шагах|2026-04-11|learning||The park is **a stone's throw** from my house.|The hotel is **a stone's throw** from the beach.|We live **a stone's throw** from the school.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
add insult to injury|усугублять|2026-04-11|learning||To **add insult to injury**, it started to rain.|He lost his job, and to **add insult to injury**, his car broke down.|She was late, and to **add insult to injury**, forgot the keys.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
break new ground|прокладывать новый путь|2026-04-11|learning||The research **broke new ground** in medicine.|She **broke new ground** with her book.|This technology **breaks new ground**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
catch someone off guard|застать врасплох|2026-04-11|learning||The question **caught me off guard**.|The news **caught her off guard**.|He was **caught off guard** by the visitor.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
come to grips with|разобраться с; смириться|2026-04-11|learning||She needs to **come to grips with** the situation.|He finally **came to grips with** his fears.|We must **come to grips with** this problem.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
cut a long story short|короче говоря|2026-04-11|learning||To **cut a long story short**, we missed the train.|**To cut a long story short**, they got married.|**Cutting a long story short**, I got the job.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
don't judge a book by its cover|не суди по внешности|2026-04-11|learning||**Don't judge a book by its cover** — he's very smart.|She learned to not **judge a book by its cover**.|As they say, **don't judge a book by its cover**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
draw the line|провести черту; установить границу|2026-04-11|learning||You have to **draw the line** somewhere.|I **draw the line** at working weekends.|She **drew the line** at lying.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
face the music|нести ответственность|2026-04-11|learning||It's time to **face the music**.|He had to **face the music** for his mistakes.|She knew she would have to **face the music**.|Informal. Принять последствия своих действий. Часто после ошибки. "Time to face the music" = пора отвечать за дела.
get on someone's nerves|действовать на нервы|2026-04-11|learning||His noise **gets on my nerves**.|Stop it — you're **getting on my nerves**.|The constant delays **got on her nerves**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
get the best of both worlds|получить лучшее от обоих вариантов|2026-04-11|learning||Working from home lets me **get the best of both worlds**.|She **gets the best of both worlds** — city and nature.|You can **get the best of both worlds** with this plan.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
go from bad to worse|становиться всё хуже|2026-04-11|learning||The situation **went from bad to worse**.|His health **went from bad to worse**.|Things **went from bad to worse** after the storm.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
have a sweet tooth|быть сладкоежкой|2026-04-11|learning||She **has a sweet tooth**.|I **have a sweet tooth** — I love cake.|He **has a sweet tooth** and eats candy every day.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
hit the books|засесть за учёбу|2026-04-11|learning||I need to **hit the books** before the exam.|She **hit the books** all weekend.|It's time to **hit the books**.|Informal / student. Засесть за учёбу. Перед экзаменом. "Time to hit the books".
in someone's shoes|на чьём-то месте|2026-04-11|learning||I wouldn't want to be **in his shoes**.|Put yourself **in her shoes**.|**In your shoes**, I'd accept the offer.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
it's a small world|мир тесен|2026-04-11|learning||I met my neighbour in Paris — **it's a small world**!|She works with my cousin — **it's a small world**.|We keep meeting — **it's a small world**!|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
jump to conclusions|делать поспешные выводы|2026-04-11|learning||Don't **jump to conclusions** before you know the facts.|She always **jumps to conclusions**.|He **jumped to conclusions** about her.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
let bygones be bygones|кто старое помянет — тому глаз вон|2026-04-11|learning||Let's **let bygones be bygones** and move on.|She decided to **let bygones be bygones**.|It's best to **let bygones be bygones**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
make a mountain out of a molehill|делать из мухи слона|2026-04-11|learning||Stop **making a mountain out of a molehill**.|She always **makes a mountain out of a molehill**.|Don't **make a mountain out of a molehill** — it's nothing.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
not my cup of tea|не моё|2026-04-11|learning||Horror films are **not my cup of tea**.|Cooking is **not my cup of tea**.|That music is **not my cup of tea**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
once bitten, twice shy|обжёгшись на молоке, дуешь на воду|2026-04-11|learning||After that experience, **once bitten, twice shy**.|She won't trust him again — **once bitten, twice shy**.|**Once bitten, twice shy** — he checks everything now.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
on the tip of my tongue|вертится на языке|2026-04-11|learning||The word is **on the tip of my tongue**.|His name is **on the tip of my tongue**.|I know it — it's **on the tip of my tongue**!|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
piece of mind|покой; спокойствие|2026-04-11|learning||The alarm gives me **peace of mind**.|Knowing she's safe gives me **peace of mind**.|Insurance provides **peace of mind**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
pull yourself together|взять себя в руки|2026-04-11|learning||**Pull yourself together** — we need to go.|She told him to **pull himself together**.|I need to **pull myself together** before the meeting.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
put your foot in your mouth|сказать что-то неуместное|2026-04-11|learning||I really **put my foot in my mouth** at dinner.|She **put her foot in her mouth** by mentioning his ex.|He always **puts his foot in his mouth**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
see the big picture|видеть общую картину|2026-04-11|learning||You need to **see the big picture**.|He can't **see the big picture** because of the details.|Try to **see the big picture** here.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
take it easy|не напрягаться; расслабиться|2026-04-11|learning||**Take it easy** — there's no rush.|The doctor told her to **take it easy**.|I'm going to **take it easy** this weekend.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
that's the last straw|это последняя капля|2026-04-02|learning||He was late again — **that's the last straw**!|**That's the last straw** — I'm leaving.|She quit after the mistake — it was **the last straw**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
the apple of someone's eye|зеница ока|2026-04-11|learning||She's **the apple of her father's eye**.|The child is **the apple of his eye**.|Her grandson is **the apple of her eye**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
the best of both worlds|лучшее от двух миров|2026-04-11|learning||This job gives me **the best of both worlds**.|Living near the city and nature — **the best of both worlds**.|She has **the best of both worlds**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
the grass is always greener|хорошо там, где нас нет|2026-04-11|learning||He thinks the other job is better, but **the grass is always greener**.|Don't forget — **the grass is always greener** on the other side.|She moved but realized **the grass is always greener**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
to each his own|у каждого свой вкус|2026-04-11|learning||I don't like it, but **to each his own**.|**To each his own** — she prefers cats.|He likes cold weather — well, **to each his own**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
under the table|из-под полы; нелегально|2026-04-11|learning||He was paid **under the table**.|The deal was done **under the table**.|They do business **under the table**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
up to your ears|по уши; завален|2026-04-11|learning||I'm **up to my ears** in work.|She's **up to her ears** in debt.|He's **up to his ears** in problems.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
wear many hats|совмещать много ролей|2026-04-11|learning||At a small company, you **wear many hats**.|She **wears many hats** — teacher, mother, writer.|He **wears many hats** at work.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
a penny for your thoughts|о чём задумался?|2026-04-11|learning||You look quiet — **a penny for your thoughts**?|**A penny for your thoughts** — you seem worried.|She smiled and said, "**a penny for your thoughts**."|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
bark worse than bite|не так страшен чёрт|2026-04-11|learning||Don't worry, his **bark is worse than his bite**.|She seems scary, but her **bark is worse than her bite**.|The teacher's **bark is worse than his bite**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
beat a dead horse|толочь воду в ступе|2026-04-11|learning||Stop **beating a dead horse** — the project is over.|There's no point **beating a dead horse**.|He keeps **beating a dead horse** about that topic.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
between a rock and a hard place|между двух огней|2026-04-11|learning||She's stuck **between a rock and a hard place**.|I'm **between a rock and a hard place** — both options are bad.|He felt **between a rock and a hard place**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
born with a silver spoon|родиться с серебряной ложкой|2026-04-11|learning||He was **born with a silver spoon** in his mouth.|Not everyone is **born with a silver spoon**.|She wasn't **born with a silver spoon**, but she worked hard.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
burn the candle at both ends|работать на износ|2026-04-11|learning||She's **burning the candle at both ends** with two jobs.|Stop **burning the candle at both ends** — you need rest.|He **burnt the candle at both ends** during exams.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
by the book|по правилам|2026-04-11|learning||She always does things **by the book**.|The officer handled it **by the book**.|We need to do this **by the book**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
come rain or shine|в любую погоду; несмотря ни на что|2026-04-02|learning||He jogs every morning, **come rain or shine**.|We'll be there, **come rain or shine**.|**Come rain or shine**, the show goes on.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
cost a pretty penny|стоить кучу денег|2026-04-11|learning||That car **cost a pretty penny**.|The renovation **cost a pretty penny**.|Her wedding dress **cost a pretty penny**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
dead end|тупик|2026-04-11|learning||The road was a **dead end**.|His career reached a **dead end**.|The investigation hit a **dead end**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
dig your own grave|рыть себе могилу|2026-04-11|learning||By lying, he's **digging his own grave**.|She's **digging her own grave** with those decisions.|Don't **dig your own grave** by ignoring the rules.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
eat humble pie|признать свою ошибку|2026-04-11|learning||After boasting, he had to **eat humble pie**.|She **ate humble pie** when she was wrong.|He'll have to **eat humble pie** if they win.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
every dog has its day|будет и на нашей улице праздник|2026-04-11|learning||Don't worry — **every dog has its day**.|He finally got promoted — **every dog has its day**.|**Every dog has its day**, and today is mine.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
get a taste of your own medicine|получить по заслугам|2026-04-11|learning||He was rude, and now he's **getting a taste of his own medicine**.|She **got a taste of her own medicine** when someone ignored her.|You'll **get a taste of your own medicine** one day.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
get your head around|понять; осмыслить|2026-04-11|learning||I can't **get my head around** this problem.|She finally **got her head around** the new system.|It took time to **get my head around** it.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
go against the grain|идти против течения|2026-04-11|learning||His decision **goes against the grain**.|It **goes against the grain** to lie.|She always **goes against the grain**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
have butterflies in your stomach|нервничать|2026-04-11|learning||I **have butterflies in my stomach** before exams.|She **had butterflies in her stomach** on her first day.|He always **has butterflies in his stomach** before speaking.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
hit rock bottom|достичь дна|2026-04-11|learning||After losing his job, he **hit rock bottom**.|She **hit rock bottom** before things improved.|The company **hit rock bottom** last year.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
hold your horses|не торопись|2026-04-11|learning||**Hold your horses** — let me finish.|**Hold your horses**, we're not ready yet.|He told her to **hold her horses**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
in the heat of the moment|сгоряча|2026-04-11|learning||I said it **in the heat of the moment**.|She apologized — it was said **in the heat of the moment**.|**In the heat of the moment**, he made a mistake.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
keep your head above water|еле сводить концы с концами|2026-04-11|learning||They're barely **keeping their heads above water**.|She worked two jobs to **keep her head above water**.|It's hard to **keep your head above water** these days.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
let the chips fall where they may|будь что будет|2026-04-11|learning||I'll tell the truth and **let the chips fall where they may**.|She did her best and **let the chips fall where they may**.|**Let the chips fall where they may** — I'm not afraid.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
lose your touch|потерять хватку|2026-04-11|learning||She hasn't **lost her touch** — her cooking is still great.|He seems to be **losing his touch**.|I hope I never **lose my touch**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.
mind your own business|не суй нос в чужие дела|2026-04-11|learning||**Mind your own business**!|She told him to **mind his own business**.|I wish people would **mind their own business**.|Neutral. Можно использовать в большинстве контекстов. Запоминай как единое выражение — буквальный перевод не работает.