word|ipa|base_verb|translation|exportedAt|status|knownAt|s1|s2|s3|family
breakdown|/ˈbɹeɪkdaʊn/|break down|поломка; нервный срыв; разбивка|2026-04-02|learning||The car had a **breakdown** on the motorway.|She had a nervous **breakdown** last year.|Here's a **breakdown** of the costs.|break down (v.)
breakthrough|/ˈbɹeɪkθɹuː/|break through|прорыв|2026-04-02|learning||Scientists made a major **breakthrough** in cancer research.|This is a real **breakthrough** for the team.|The **breakthrough** came after years of work.|break through (v.)
breakup|/ˈbɹeɪkʌp/|break up|расставание; распад|2026-04-02|learning||Their **breakup** was very painful.|The **breakup** of the Soviet Union changed the world.|She's still sad about the **breakup**.|break up (v.)
outbreak|/ˈaʊtbɹeɪk/|break out|вспышка|2026-04-02|learning||There was an **outbreak** of flu in the school.|The **outbreak** spread across the region.|Health officials are monitoring the **outbreak**.|break out (v.)
takeoff||take off|взлёт|2026-04-02|learning||The **takeoff** was smooth and quick.|Please stay seated during **takeoff**.|The plane is ready for **takeoff**.|take off (v.)
takeover||take over|захват; поглощение|2026-04-02|learning||The company faced a hostile **takeover**.|The **takeover** was completed last month.|A foreign firm planned a **takeover** of the business.|take over (v.)
outcome|/ˈaʊtkʌm/|come out|результат; исход|2026-04-02|learning||The **outcome** of the election was a surprise.|We're waiting for the **outcome** of the test.|The **outcome** depends on many factors.|come out (v.)
income|/ˈɪnˌkʌm/|come in|доход|2026-04-02|learning||Her **income** has doubled in five years.|The average **income** in this region is low.|He has a steady **income** from his job.|
comeback|/ˈkʌmbæk/|come back|возвращение|2026-04-02|learning||The singer made a great **comeback**.|The team staged an incredible **comeback**.|Fashion trends always make a **comeback**.|come back (v.)
downfall||fall down|падение; крах|2026-04-02|learning||Greed led to his **downfall**.|The **downfall** of the empire took decades.|His arrogance was his **downfall**.|fall down (v.)
setback|/ˈsɛtbæk/|set back|неудача; задержка|2026-04-02|learning||The injury was a major **setback**.|Despite several **setbacks**, she kept going.|The project suffered a **setback** due to funding.|set back (v.)
setup|/ˈsɛtˌʌp/|set up|настройка; устройство|2026-04-02|learning||The **setup** of the system took an hour.|It's an easy **setup** — just follow the guide.|What's the **setup** for the meeting room?|set up (v.)
layout|/ˈleɪ.aʊt/|lay out|планировка; макет|2026-04-02|learning||The **layout** of the flat is very practical.|She designed the **layout** for the magazine.|I like the **layout** of this website.|lay out (v.)
lookout|/ˈlʊkaʊt/|look out|наблюдатель; наблюдение|2026-04-02|learning||Be on the **lookout** for any problems.|She's on the **lookout** for a new flat.|A **lookout** spotted the ship from the cliff.|look out (v.)
outlook|/ˈaʊtˌlʊk/|look out|перспектива; взгляд|2026-04-02|learning||His **outlook** on life is very positive.|The **outlook** for the economy is uncertain.|She has a hopeful **outlook** for the future.|look out (v.)
turnover||turn over|оборот; текучесть|2026-04-02|learning||The company's annual **turnover** is 2 million.|Staff **turnover** is high in this industry.|The restaurant has a fast table **turnover**.|turn over (v.)
turnaround||turn around|разворот; перелом|2026-04-02|learning||The company made a remarkable **turnaround**.|The **turnaround** time for orders is 48 hours.|It was a complete **turnaround** from last year.|turn around (v.)
turnout||turn out|явка; посещаемость|2026-04-02|learning||The **turnout** at the election was low.|There was a good **turnout** for the concert.|The **turnout** was better than expected.|turn out (v.)
dropout||drop out|отчисленный; бросивший учёбу|2026-04-02|learning||He was a university **dropout** who became successful.|The **dropout** rate is high in some schools.|She's a college **dropout**.|drop out (v.)
feedback|/ˈfiːdˌbæk/|feed back|обратная связь|2026-04-02|learning||Can you give me some **feedback** on my work?|The **feedback** from customers was positive.|We received useful **feedback** from the survey.|feed back (v.)
output|/ˈaʊtpʊt/|put out|выпуск; производительность|2026-04-02|learning||Factory **output** has increased this year.|The **output** of the team was impressive.|We need to increase our **output**.|put out (v.), input (n.)
input|/ˈɪnpʊt/|put in|вклад; ввод|2026-04-02|learning||Your **input** on this project is valuable.|We need more **input** from the team.|The data **input** took two hours.|output (n.)
ongoing||go on|продолжающийся; текущий|2026-04-02|learning||The investigation is **ongoing**.|It's an **ongoing** problem with no solution yet.|She has **ongoing** health issues.|go on (v.)
outstanding||stand out|выдающийся; неоплаченный|2026-04-02|learning||She did an **outstanding** job.|He has **outstanding** debts of £5,000.|The view from the mountain was **outstanding**.|stand out (v.)
outgoing||go out|общительный; исходящий|2026-04-02|learning||She's very **outgoing** and friendly.|The **outgoing** president gave his final speech.|Check your **outgoing** calls.|go out (v.), incoming (adj.)
incoming||come in|входящий; поступающий|2026-04-02|learning||There are three **incoming** calls.|The **incoming** data shows a trend.|The **incoming** manager starts on Monday.|come in (v.), outgoing (adj.)
update||up + date|обновление|2026-04-02|learning||I'll give you an **update** on the project.|Have you installed the latest **update**?|She sent a quick **update** by email.|updated (adj.), outdated (adj.)
upgrade|/ˈʌp.ɡɹeɪd/|up + grade|улучшение; апгрейд|2026-04-02|learning||The hotel offered us a free **upgrade**.|I need an **upgrade** for my phone.|The software **upgrade** fixed the bug.|downgrade (v., n.)
upbringing||bring up|воспитание|2026-04-02|learning||She had a strict **upbringing**.|His **upbringing** shaped his values.|They talked about their very different **upbringings**.|bring up (v.)
downside|/ˈdaʊnˌsaɪd/|down + side|недостаток; минус|2026-04-02|learning||The only **downside** is the price.|What's the **downside** of this plan?|There's a **downside** to working from home.|upside (n.)
downtime||down + time|простой; свободное время|2026-04-02|learning||The server had two hours of **downtime**.|I use **downtime** to read books.|There's very little **downtime** in this job.|
download|/ˈdaʊnˌləʊd/|down + load|скачивание; скачать|2026-04-02|learning||The **download** took five minutes.|Click here to start the **download**.|I need to **download** the new app.|upload (n., v.)
upload|/əpˈləʊd/|up + load|загрузка; загрузить|2026-04-02|learning||The **upload** speed is very slow.|She's doing an **upload** of the photos.|Please **upload** your documents here.|download (n., v.)
backup|/ˈbækˌʌp/|back up|резервная копия; поддержка|2026-04-02|learning||Always keep a **backup** of your files.|I have a **backup** plan if this fails.|The IT team runs daily **backups**.|back up (v.)
checkout||check out|оформление покупки; выписка|2026-04-02|learning||The **checkout** process is quick and easy.|**Checkout** time is 11 a.m.|She went to the **checkout** counter.|check out (v.)
handout|/ˈhændaʊt/|hand out|раздаточный материал; подачка|2026-04-02|learning||The teacher gave us a **handout**.|She doesn't want **handouts** — she wants a job.|The **handout** has all the key points.|hand out (v.)
workout|/ˈwəːk.aʊt/|work out|тренировка|2026-04-02|learning||I do a 30-minute **workout** every morning.|That was a tough **workout**.|She skipped her **workout** today.|work out (v.)
letdown||let down|разочарование|2026-04-02|learning||The film was a real **letdown**.|After all the hype, the product was a **letdown**.|What a **letdown** — the concert was cancelled.|let down (v.)
layoff||lay off|сокращение; увольнение|2026-04-02|learning||The company announced **layoffs** of 200 people.|Mass **layoffs** hit the tech industry.|She was affected by the **layoffs**.|lay off (v.)
standout||stand out|выдающийся человек/вещь|2026-04-02|learning||She was the **standout** performer of the night.|His essay was a **standout** among the entries.|The **standout** feature of the phone is the camera.|stand out (v.)
rundown||run down|краткий обзор; запущенный|2026-04-02|learning||Give me a quick **rundown** of the meeting.|The building looks pretty **rundown**.|Here's a **rundown** of the main points.|run down (v.)
fallout||fall out|последствия; осадки|2026-04-02|learning||The political **fallout** was huge.|The **fallout** from the scandal lasted months.|Nuclear **fallout** is extremely dangerous.|fall out (v.)
getaway||get away|побег; короткий отпуск|2026-04-02|learning||The criminals made their **getaway** by car.|We planned a weekend **getaway** to the coast.|She needs a quick **getaway** from the city.|get away (v.)
giveaway||give away|бесплатная раздача; то, что выдаёт|2026-04-02|learning||There's a free **giveaway** at the shop.|Her smile was a **giveaway** — she knew the secret.|The company is doing a book **giveaway**.|give away (v.)
crackdown||crack down|жёсткие меры|2026-04-02|learning||There's been a **crackdown** on speeding.|The police launched a **crackdown** on drug dealing.|The government announced a **crackdown** on tax fraud.|crack down (v.)
followup||follow up|продолжение; повторный контакт|2026-04-02|learning||She scheduled a **follow-up** appointment.|The **follow-up** to the film was disappointing.|I'll send a **follow-up** email tomorrow.|follow up (v.)
startup||start up|стартап|2026-04-02|learning||He works at a tech **startup**.|The **startup** raised a lot of money.|She founded a **startup** last year.|start up (v.)
drawback||draw back|недостаток|2026-04-11|learning|||The only **drawback** is the price.|Every plan has its **drawbacks**.|The **drawback** of living here is the noise.|
outbreak|/ˈaʊtbɹeɪk/|break out|вспышка|2026-04-02|learning||There was an **outbreak** of flu.|The **outbreak** spread to other cities.|The **outbreak** started in March.|break out (v.)
shakeup||shake up|перестройка; реорганизация|2026-04-11|learning|||There was a major **shakeup** at the company.|The **shakeup** changed everything.|A management **shakeup** is coming.|
kickoff||kick off|начало|2026-04-11|learning|||The **kickoff** is at three o'clock.|The **kickoff** of the project went well.|We're ready for the **kickoff**.|
writeoff||write off|списание; полная потеря|2026-04-11|learning|||The car was a total **write-off**.|The debt was a **write-off**.|The project became a **write-off**.|
blowout||blow out|прорыв; распродажа|2026-04-11|learning|||There was a tyre **blowout** on the road.|The store had a big **blowout** sale.|The **blowout** caused a traffic jam.|
cutback||cut back|сокращение|2026-04-11|learning|||There were **cutbacks** in education.|The company announced **cutbacks** in staff.|Budget **cutbacks** affected everyone.|
holdup||hold up|задержка; ограбление|2026-04-11|learning|||There was a **holdup** on the highway.|Sorry for the **holdup**.|The bank **holdup** made the news.|
mixup||mix up|путаница|2026-04-11|learning|||There was a **mix-up** with the tickets.|It was just a silly **mix-up**.|The **mix-up** caused a lot of confusion.|
payoff||pay off|выплата; результат|2026-04-11|learning|||The hard work had a big **payoff**.|The **payoff** was worth the effort.|She received a large **payoff**.|
pickup||pick up|пикап; подъём|2026-04-11|learning|||He drives a **pickup** truck.|There was a **pickup** in sales.|The **pickup** point is at the front door.|
showdown||show down|решающая схватка|2026-04-11|learning|||The final **showdown** is tomorrow.|It was a **showdown** between the two teams.|The **showdown** ended quickly.|
spinoff||spin off|побочный продукт|2026-04-11|learning|||The TV show got a **spinoff**.|The **spinoff** was more popular.|It started as a **spinoff** of the original.|
buildup||build up|наращивание; нарастание|2026-04-11|learning|||There was a **buildup** of traffic.|The **buildup** to the event was exciting.|A **buildup** of stress can cause problems.|
startup||start up|стартап; запуск|2026-04-02|learning||She works at a tech **startup**.|The **startup** costs were quite high.|He founded a successful **startup** in 2020.|start up (v.)