phrase|translation|exportedAt|status|knownAt|s1|s2|s3|note
on purpose|нарочно; специально|2026-04-02|learning||She did it **on purpose**.|I didn't break it **on purpose**.|He said it **on purpose** to annoy me.|
by accident|случайно|2026-04-02|learning||I found the letter **by accident**.|She deleted the file **by accident**.|We met **by accident** at the airport.|
in advance|заранее|2026-04-02|learning||Please book **in advance**.|She paid **in advance** for the course.|Let me know **in advance** if you can't come.|
at risk|под угрозой|2026-04-02|learning||Your health is **at risk** if you don't sleep.|Children are **at risk** in that area.|The company is **at risk** of bankruptcy.|
for good|навсегда|2026-04-02|learning||She left the country **for good**.|He gave up smoking **for good**.|They moved to Spain **for good**.|
in charge|ответственный; главный|2026-04-02|learning||Who's **in charge** here?|She's **in charge** of the project.|He's **in charge** while the boss is away.|
in common|общего|2026-04-02|learning||We have a lot **in common**.|They have nothing **in common**.|What do the two cities have **in common**?|
in general|в общем; в целом|2026-04-02|learning||**In general**, I prefer tea to coffee.|**In general**, the feedback was positive.|She's **in general** happy with her job.|
in fact|на самом деле|2026-04-02|learning||He's not lazy. **In fact**, he works very hard.|**In fact**, she already knew the answer.|I didn't dislike it. **In fact**, I loved it.|
in favour of|в пользу|2026-04-11|learning||Most people voted **in favour of** the plan.|She spoke **in favour of** the idea.|The court ruled **in favour of** the company.|
in case|на всякий случай|2026-04-02|learning||Take an umbrella **in case** it rains.|I saved the file **in case** something went wrong.|Call me **in case** you need help.|
in time|вовремя (успеть)|2026-04-02|learning||We arrived **in time** for the show.|She finished **in time** to catch the bus.|Will we get there **in time**?|
on time|вовремя (по расписанию)|2026-04-02|learning||The train arrived **on time**.|She's always **on time** for meetings.|Please be **on time** tomorrow.|
at once|сразу; немедленно|2026-04-02|learning||I need the report **at once**.|Don't all speak **at once**.|She knew **at once** something was wrong.|
at first|сначала; поначалу|2026-04-02|learning||**At first**, I didn't like the job.|**At first** it was hard, but I got used to it.|She was shy **at first**.|
at last|наконец|2026-04-02|learning||**At last**, the rain stopped.|She passed the exam **at last**!|**At last**, we found the answer.|
at least|по крайней мере|2026-04-02|learning||It will take **at least** two hours.|**At least** nobody got hurt.|She has **at least** three cats.|
at most|самое большее|2026-04-02|learning||It will cost **at most** fifty pounds.|**At most**, ten people showed up.|The trip takes **at most** one hour.|
by chance|случайно|2026-04-02|learning||I met him **by chance** on the street.|She found the book **by chance**.|We discovered it **by chance**.|
by heart|наизусть|2026-04-02|learning||She knows the poem **by heart**.|Learn these words **by heart**.|He knows all the lyrics **by heart**.|
by mistake|по ошибке|2026-04-02|learning||I took your bag **by mistake**.|She sent the email **by mistake**.|The wrong order was delivered **by mistake**.|
by the way|кстати|2026-04-02|learning||**By the way**, have you seen Tom?|Oh, **by the way**, dinner is at seven.|**By the way**, I forgot to tell you something.|
for instance|например|2026-04-02|learning||Some fruits, **for instance** oranges, are rich in vitamin C.|**For instance**, she could work from home.|Many animals, **for instance** cats, are nocturnal.|
for a while|на некоторое время|2026-04-02|learning||Let's sit here **for a while**.|She lived in Japan **for a while**.|I haven't seen him **for a while**.|
for the time being|пока; на данный момент|2026-04-02|learning||**For the time being**, let's keep the old system.|She's staying with us **for the time being**.|**For the time being**, we'll wait.|
in a hurry|в спешке|2026-04-02|learning||I'm **in a hurry** — I can't stop.|She left **in a hurry** and forgot her keys.|Don't make decisions **in a hurry**.|
in a row|подряд|2026-04-02|learning||She won three games **in a row**.|It rained for five days **in a row**.|He was late three times **in a row**.|
in addition to|в дополнение к|2026-04-02|learning||**In addition to** English, she speaks French.|**In addition to** the salary, they offer a bonus.|We need help **in addition to** what we have.|
in comparison with|по сравнению с|2026-04-02|learning||The new model is cheaper **in comparison with** the old one.|**In comparison with** last year, sales are up.|Her flat is tiny **in comparison with** his house.|
in conclusion|в заключение|2026-04-02|learning||**In conclusion**, the project was a success.|**In conclusion**, we need more funding.|**In conclusion**, I'd like to thank everyone.|
in contrast|в отличие|2026-04-02|learning||Dogs are loyal. **In contrast**, cats are independent.|**In contrast** to the UK, Spain is hot.|Her work improved, **in contrast** to his.|
in danger|в опасности|2026-04-02|learning||The building is **in danger** of collapse.|He was **in danger** of losing his job.|Wildlife is **in danger** due to pollution.|
in debt|в долгу|2026-04-02|learning||She's deeply **in debt**.|He's **in debt** to the bank.|They got **in debt** after the renovation.|
in demand|востребован|2026-04-02|learning||Good teachers are always **in demand**.|This product is **in high demand**.|Her skills are **in demand** worldwide.|
in detail|подробно|2026-04-02|learning||She explained everything **in detail**.|Let's discuss it **in detail** tomorrow.|He described the plan **in detail**.|
in doubt|под сомнением|2026-04-02|learning||The result is still **in doubt**.|If **in doubt**, ask your teacher.|Her sincerity is **in doubt**.|
in exchange for|в обмен на|2026-04-02|learning||He gave her the book **in exchange for** a cake.|**In exchange for** help, she offered lunch.|What do you want **in exchange for** this?|
in need|в нужде|2026-04-02|learning||We should help those **in need**.|She donated clothes to people **in need**.|A friend **in need** is a friend indeed.|
in order to|для того чтобы|2026-04-02|learning||She studied hard **in order to** pass the exam.|**In order to** succeed, you must practise.|He left early **in order to** avoid traffic.|
in other words|другими словами|2026-04-02|learning||She's not coming. **In other words**, the plan is cancelled.|**In other words**, you want a raise.|He's broke. **In other words**, he can't pay.|
in particular|в частности|2026-04-02|learning||I like music, **in particular** jazz.|One student **in particular** impressed the teacher.|She enjoys travel, **in particular** in Asia.|
in person|лично|2026-04-02|learning||You need to apply **in person**.|She looks different **in person**.|I'd prefer to discuss this **in person**.|
in place of|вместо|2026-04-11|learning||She used honey **in place of** sugar.|He went **in place of** his boss.|They chose tea **in place of** coffee.|
in private|наедине|2026-04-02|learning||Can I talk to you **in private**?|She told him the news **in private**.|They discussed the matter **in private**.|
in public|публично|2026-04-02|learning||Don't argue **in public**.|She doesn't like speaking **in public**.|He embarrassed her **in public**.|
in return|взамен|2026-04-02|learning||She helped me and I cooked dinner **in return**.|What do you expect **in return**?|He asked for nothing **in return**.|
in short|короче говоря|2026-04-02|learning||**In short**, we need more time.|**In short**, the meeting was a waste.|**In short**, I don't agree.|
in spite of|несмотря на|2026-04-02|learning||She went out **in spite of** the rain.|**In spite of** his injury, he played well.|**In spite of** everything, she stayed positive.|
in terms of|с точки зрения|2026-04-11|learning||**In terms of** quality, it's the best.|The city is great **in terms of** transport.|**In terms of** money, we're fine.|
in the end|в конце концов|2026-04-02|learning||**In the end**, we decided to stay.|She chose the red one **in the end**.|Everything worked out **in the end**.|
in the meantime|тем временем|2026-04-02|learning||The bus comes in an hour. **In the meantime**, let's eat.|The order is on its way. **In the meantime**, use the old one.|**In the meantime**, I'll prepare the documents.|
in the middle of|в середине; посреди|2026-04-02|learning||She woke up **in the middle of** the night.|He called me **in the middle of** a meeting.|We're **in the middle of** renovations.|
in theory|в теории|2026-04-02|learning||**In theory**, it should work.|**In theory**, everyone is equal.|That sounds good **in theory** but not in practice.|
in touch|на связи|2026-04-02|learning||Let's stay **in touch**.|Are you still **in touch** with her?|We keep **in touch** by phone.|
in trouble|в беде|2026-04-02|learning||He's **in trouble** with the police.|The company is **in trouble** financially.|You'll be **in trouble** if you're late again.|
in turn|в свою очередь|2026-04-02|learning||Stress affects sleep which **in turn** affects health.|She helped him, and he **in turn** helped others.|Each student spoke **in turn**.|
in vain|напрасно; тщетно|2026-04-02|learning||She tried to save him but **in vain**.|All our efforts were **in vain**.|He waited **in vain** for a reply.|
on average|в среднем|2026-04-02|learning||**On average**, I sleep seven hours a night.|She earns £40,000 **on average**.|**On average**, it rains ten days a month here.|
on behalf of|от имени|2026-04-02|learning||I'm speaking **on behalf of** the team.|She signed **on behalf of** her boss.|He accepted the award **on behalf of** his father.|
on board|на борту; согласен|2026-04-02|learning||Is everyone **on board** with the plan?|There were 200 people **on board** the plane.|She's **on board** with the idea.|
on foot|пешком|2026-04-02|learning||We went to the park **on foot**.|It's only ten minutes **on foot**.|She walks to work **on foot** every day.|
on hold|в ожидании; приостановлен|2026-04-02|learning||The project is **on hold** for now.|I was **on hold** for twenty minutes.|Plans are **on hold** until the budget is approved.|
on my own|самостоятельно; один|2026-04-02|learning||I did it **on my own**.|She lives **on her own**.|He prefers to work **on his own**.|
on sale|в продаже; со скидкой|2026-04-02|learning||This coat is **on sale** — 50% off.|The tickets are already **on sale**.|I bought it when it was **on sale**.|
on the contrary|наоборот|2026-04-02|learning||I'm not bored. **On the contrary**, I find it fascinating.|She didn't complain. **On the contrary**, she was grateful.|**On the contrary**, I think it's a great idea.|
on the other hand|с другой стороны|2026-04-02|learning||It's expensive. **On the other hand**, it's very good quality.|**On the other hand**, we could wait until next year.|I'd like to go. **On the other hand**, I'm tired.|
on the whole|в целом|2026-04-02|learning||**On the whole**, it was a good year.|**On the whole**, I'm satisfied.|**On the whole**, the reviews were positive.|
on top of|поверх; помимо|2026-04-02|learning||**On top of** that, she has to pay a fine.|He has work problems **on top of** family issues.|There's snow **on top of** the mountain.|
out of control|вышедший из-под контроля|2026-04-02|learning||The fire was **out of control**.|The situation is **out of control**.|The crowd got **out of control** quickly.|
out of date|устаревший|2026-04-02|learning||This information is **out of date**.|My passport is **out of date**.|The software is **out of date**.|
out of order|не работает|2026-04-02|learning||The lift is **out of order**.|The printer has been **out of order** all week.|His phone is **out of order**.|
out of reach|вне досягаемости|2026-04-02|learning||The toy was **out of reach** for the child.|House prices are **out of reach** for many people.|The shelf was **out of reach**.|
out of the question|исключено|2026-04-02|learning||A raise right now is **out of the question**.|Working weekends is **out of the question**.|Moving abroad is **out of the question** for us.|
out of work|безработный|2026-04-02|learning||He's been **out of work** for six months.|Many people are **out of work** in the area.|She was **out of work** for a year.|
under control|под контролем|2026-04-02|learning||The fire is now **under control**.|Don't worry, everything is **under control**.|She has the situation **under control**.|
under pressure|под давлением|2026-04-02|learning||She works well **under pressure**.|He made the decision **under pressure**.|Students are often **under pressure** before exams.|
up to date|актуальный; в курсе|2026-04-02|learning||Is the software **up to date**?|She keeps her records **up to date**.|I'm not **up to date** with the latest news.|
without a doubt|без сомнения|2026-04-02|learning||She's **without a doubt** the best singer.|**Without a doubt**, this is the right decision.|He's **without a doubt** the fastest runner.|
at the expense of|за счёт|2026-04-02|learning||He succeeded **at the expense of** his health.|Don't achieve goals **at the expense of** others.|Profit came **at the expense of** quality.|
by all means|конечно; безусловно|2026-04-02|learning||**By all means**, go ahead.|**By all means**, feel free to ask questions.|You can use my car — **by all means**.|
by no means|ни в коем случае|2026-04-02|learning||This is **by no means** the end.|She is **by no means** stupid.|The problem is **by no means** solved.|
for the sake of|ради|2026-04-02|learning||She did it **for the sake of** her children.|**For the sake of** peace, let's stop arguing.|He stayed **for the sake of** the team.|
in accordance with|в соответствии с|2026-04-02|learning||**In accordance with** the rules, he was disqualified.|She acted **in accordance with** the law.|The work was done **in accordance with** the plan.|
in the long run|в долгосрочной перспективе|2026-04-02|learning||**In the long run**, it's better to save money.|**In the long run**, exercise keeps you healthy.|This decision will help **in the long run**.|
on account of|по причине; из-за|2026-04-02|learning||The flight was delayed **on account of** fog.|She was late **on account of** traffic.|**On account of** the rain, we stayed inside.|
on the verge of|на грани|2026-04-02|learning||She was **on the verge of** tears.|The company is **on the verge of** bankruptcy.|He's **on the verge of** a breakthrough.|
to a certain extent|до определённой степени|2026-04-02|learning||I agree **to a certain extent**.|**To a certain extent**, she's right.|He's responsible **to a certain extent**.|
with regard to|относительно; что касается|2026-04-02|learning||**With regard to** your question, here's the answer.|**With regard to** the budget, we need more funds.|I'm writing **with regard to** the job offer.|
as a matter of fact|фактически; на самом деле|2026-04-02|learning||**As a matter of fact**, I do know him.|She's not a beginner. **As a matter of fact**, she's advanced.|**As a matter of fact**, we were just talking about you.|
as a result|в результате|2026-04-02|learning||She studied hard. **As a result**, she passed.|The road was icy. **As a result**, there were many accidents.|**As a result** of the changes, profits rose.|
as far as I know|насколько мне известно|2026-04-02|learning||**As far as I know**, the meeting is at three.|She's single, **as far as I know**.|**As far as I know**, they're still in London.|
at the same time|в то же время|2026-04-02|learning||She's strict but kind **at the same time**.|I can't do two things **at the same time**.|He was angry and sad **at the same time**.|
from time to time|время от времени|2026-04-02|learning||I see her **from time to time**.|He visits us **from time to time**.|**From time to time**, we go to the theatre.|
at random|наугад|2026-04-11|learning||They chose names **at random**.|The numbers were picked **at random**.|She opened a book **at random**.|
at length|подробно; наконец|2026-04-11|learning||He explained the problem **at length**.|She spoke **at length** about her trip.|**At length**, they reached an agreement.|
at any rate|во всяком случае|2026-04-11|learning||**At any rate**, we tried our best.|The food was good, **at any rate**.|**At any rate**, it's over now.|
by and large|в целом|2026-04-11|learning||**By and large**, the event was a success.|The reviews were, **by and large**, positive.|**By and large**, people were happy.|
for the most part|по большей части|2026-04-11|learning||**For the most part**, I agree with you.|The weather was, **for the most part**, sunny.|**For the most part**, the students passed.|
in charge of|ответственный за|2026-04-11|learning||She is **in charge of** the project.|Who is **in charge of** this department?|He was put **in charge of** the team.|
in honour of|в честь|2026-04-11|learning||The party was **in honour of** her birthday.|The street was named **in honour of** the hero.|We held a dinner **in honour of** the guests.|
in light of|в свете; учитывая|2026-04-11|learning||**In light of** the new data, we changed the plan.|**In light of** his experience, he was chosen.|**In light of** recent events, we must be careful.|
in pursuit of|в поисках; ради|2026-04-11|learning||He moved abroad **in pursuit of** a better life.|She studied hard **in pursuit of** her dream.|**In pursuit of** happiness, he quit his job.|
in response to|в ответ на|2026-04-11|learning||The company changed its policy **in response to** complaints.|**In response to** the question, she nodded.|He smiled **in response to** her joke.|
in the course of|в ходе; на протяжении|2026-04-11|learning||**In the course of** the meeting, several ideas came up.|She learned a lot **in the course of** the year.|**In the course of** time, things improved.|
in the event of|в случае|2026-04-11|learning||**In the event of** a fire, leave the building.|**In the event of** rain, the event moves inside.|**In the event of** an emergency, call 112.|
in view of|ввиду; учитывая|2026-04-11|learning||**In view of** the bad weather, the game was cancelled.|**In view of** his age, he was given extra time.|**In view of** the situation, we should wait.|
on the basis of|на основании|2026-04-11|learning||The decision was made **on the basis of** the data.|She was hired **on the basis of** her skills.|**On the basis of** this report, we should act.|
on the grounds of|на основании; по причине|2026-04-11|learning||He was fired **on the grounds of** misconduct.|She refused **on the grounds of** safety.|**On the grounds of** lack of evidence, he was freed.|
on the point of|на грани; вот-вот|2026-04-11|learning||She was **on the point of** leaving.|He was **on the point of** giving up.|I was **on the point of** calling you.|
with a view to|с целью|2026-04-11|learning||He moved **with a view to** starting a business.|She studied **with a view to** becoming a lawyer.|**With a view to** saving money, they cut costs.|
with reference to|со ссылкой на; касательно|2026-04-11|learning||**With reference to** your letter, I agree.|I'm writing **with reference to** the job.|**With reference to** the invoice, please pay by Friday.|
with respect to|в отношении|2026-04-11|learning||**With respect to** the budget, we need to cut costs.|**With respect to** your question, the answer is yes.|**With respect to** safety, we follow all rules.|
at short notice|в короткие сроки|2026-04-11|learning||She cancelled **at short notice**.|He was called in **at short notice**.|We arranged the meeting **at short notice**.|
beyond doubt|вне сомнения|2026-04-11|learning||Her talent is **beyond doubt**.|The evidence proved it **beyond doubt**.|He is, **beyond doubt**, the best player.|
by means of|посредством|2026-04-11|learning||They communicated **by means of** email.|She solved it **by means of** a simple trick.|He escaped **by means of** a rope.|
under no circumstances|ни при каких обстоятельствах|2026-04-11|learning||**Under no circumstances** should you open this door.|**Under no circumstances** will I agree.|**Under no circumstances** is cheating allowed.|
with the help of|с помощью||||She fixed it **with the help of** a friend.|He learned **with the help of** online courses.|We solved the problem **with the help of** a guide.|
for a change|для разнообразия||||Let's eat out **for a change**.|We went to the mountains **for a change**.|Try something new **for a change**.|
go for a walk|пойти на прогулку||||Let's **go for a walk** in the park.|She likes to **go for a walk** in the morning.|Do you want to **go for a walk**?|
if you don't mind|если ты не возражаешь||||I'll join you, **if you don't mind**.|**If you don't mind**, I'll go first.|Could I borrow this, **if you don't mind**?|
just out of curiosity|просто из любопытства||||**Just out of curiosity**, how old are you?|I'm asking **just out of curiosity**.|**Just out of curiosity**, where are you from?|
for sale|на продажу||||The house is **for sale**.|Are these books **for sale**?|The painting is not **for sale**.|
in practice|на практике||||In theory it works, but **in practice** it's harder.|**In practice**, the plan is more complex.|The rules are different **in practice**.|
for a start|для начала||||**For a start**, let me explain the basics.|**For a start**, you need to read this.|We need to plan, **for a start**.|
for ages|целую вечность||||I haven't seen him **for ages**.|We've been waiting **for ages**.|She's been working there **for ages**.|
at a loss|в растерянности||||I'm **at a loss** for words.|She was **at a loss** what to say.|He's **at a loss** how to fix it.|
for sure|точно; наверняка||||I don't know **for sure**.|One thing is **for sure** — she's smart.|It will rain tomorrow **for sure**.|
on good terms|в хороших отношениях||||I'm **on good terms** with my neighbours.|She's **on good terms** with her ex.|They are **on good terms** despite the disagreement.|
by nature|от природы||||She is shy **by nature**.|He's curious **by nature**.|Cats are independent **by nature**.|
to my surprise|к моему удивлению||||**To my surprise**, he agreed immediately.|She arrived early, **to my surprise**.|**To my surprise**, the test was easy.|
in good condition|в хорошем состоянии||||The car is **in good condition**.|The book is **in good condition** after years.|She's **in good condition** physically.|
in a good mood|в хорошем настроении||||She's **in a good mood** today.|He's not **in a good mood** this morning.|The boss is **in a good mood**, ask now.|
take into account|принимать во внимание||||We must **take into account** the weather.|She **took** his age **into account**.|Please **take** this **into account**.|
take for granted|принимать как должное||||Don't **take** her **for granted**.|He **takes** everything **for granted**.|We often **take** health **for granted**.|
in addition|в добавление||||She speaks French. **In addition**, she knows German.|**In addition**, the price includes delivery.|There's a discount, **in addition**.|