group|description|exportedAt|status|knownAt|s1|s2|s3
big / large / huge / enormous|big — обычное; large — формальнее; huge — очень большой; enormous — гигантский|2026-04-26|learning||The room is **big** and bright.|She lives in a **large** house.|There was a **huge** crowd at the concert.
small / little / tiny / minute|small — маленький; little — небольшой (эмоц.); tiny — крошечный; minute — мельчайший|2026-04-26|learning||He has a **small** car.|What a **little** kitten!|She found a **tiny** insect on the leaf.
say / tell / speak / talk|say — что-то; tell — кому-то; speak — говорить (язык); talk — разговаривать|2026-04-26|learning||She **said** she was tired.|He **told** me a secret.|We **talked** about the film.
look / see / watch|look — направить взгляд; see — видеть; watch — наблюдать|2026-04-26|learning||**Look** at this beautiful painting.|I can **see** the mountain from here.|We **watched** a film last night.
hear / listen|hear — слышать (пассивно); listen — слушать (активно)|2026-04-26|learning||I **hear** music every morning from the neighbours.|**Listen** to this song carefully.|She **heard** a strange noise.
fast / quick / rapid / swift|fast — про скорость; quick — про время; rapid — резкий; swift — стремительный|2026-04-26|learning||This is a **fast** car.|I need a **quick** answer.|There has been **rapid** progress.
slow / sluggish|slow — медленный; sluggish — вялый|2026-04-26|learning||The traffic is very **slow** today.|He felt **sluggish** after lunch.|The river moved at a **slow** pace.
happy / glad / pleased / delighted|happy — общее; glad — рад (моментально); pleased — доволен; delighted — в восторге|2026-04-26|learning||She is so **happy** with her new job.|I'm **glad** to see you.|He was **delighted** to hear the news.
sad / unhappy / miserable / depressed|sad — грустный; unhappy — несчастный; miserable — мрачный; depressed — в депрессии|2026-04-26|learning||She felt **sad** after the news.|He looked **unhappy** at the meeting.|The weather made everyone **miserable**.
angry / annoyed / furious / irritated|angry — злой; annoyed — раздражён; furious — в ярости; irritated — нервничает|2026-04-26|learning||She was **angry** with her brother.|I'm **annoyed** by the noise.|He was **furious** when he found out.
nice / kind / pleasant / lovely|nice — приятный (общее); kind — добрый; pleasant — приятный (формал.); lovely — прекрасный|2026-04-26|learning||She's a really **nice** person.|He's so **kind** to animals.|We had a **lovely** evening together.
bad / awful / terrible / horrible|bad — плохой; awful — ужасный; terrible — ужасный (сильнее); horrible — отвратительный|2026-04-26|learning||The food was **bad**.|The weather is **awful** today.|That was a **terrible** mistake.
good / great / excellent / wonderful|good — хороший; great — отличный; excellent — превосходный; wonderful — чудесный|2026-04-26|learning||This is a **good** book.|We had a **great** time.|The food was **excellent**.
smart / clever / intelligent / wise|smart — умный (быстро); clever — сообразительный; intelligent — высокий интеллект; wise — мудрый|2026-04-26|learning||She's a **smart** student.|He's very **clever** with his hands.|My grandmother is a **wise** woman.
stupid / foolish / silly|stupid — тупой (грубо); foolish — глупый (поступок); silly — несерьёзный|2026-04-26|learning||That was a **stupid** thing to say.|It was **foolish** to leave the door open.|Don't be **silly** — of course I'll help.
beautiful / pretty / handsome / gorgeous|beautiful — красивый (общее); pretty — миловидная; handsome — красивый (мужчина); gorgeous — потрясающий|2026-04-26|learning||She is a **beautiful** woman.|That's a **pretty** dress.|He's a **handsome** young man.
ugly / hideous|ugly — некрасивый; hideous — отвратительный|2026-04-26|learning||The building is really **ugly**.|That's a **hideous** sweater.|The painting was **ugly** but interesting.
tired / exhausted / sleepy|tired — устал; exhausted — измотан; sleepy — сонный|2026-04-26|learning||I'm so **tired** after work.|She was **exhausted** after the marathon.|The kids are **sleepy** already.
hungry / starving|hungry — голодный; starving — умираю с голоду|2026-04-26|learning||I'm **hungry**, let's eat.|I'm absolutely **starving** — I haven't eaten all day.|The dog looked **hungry**.
cold / cool / chilly / freezing|cold — холодный; cool — прохладный; chilly — зябко; freezing — морозно|2026-04-26|learning||It's very **cold** outside today.|The water is nicely **cool**.|It's getting **chilly** in the evening.
hot / warm / boiling / scorching|hot — горячий; warm — тёплый; boiling — кипяток; scorching — палящий|2026-04-26|learning||The soup is too **hot**.|It's nice and **warm** in here.|The desert sun was **scorching**.
quiet / silent / calm|quiet — тихий; silent — безмолвный; calm — спокойный|2026-04-26|learning||Please be **quiet** in the library.|The room was completely **silent**.|The sea was **calm** today.
loud / noisy / deafening|loud — громкий; noisy — шумный; deafening — оглушительный|2026-04-26|learning||The music is too **loud**.|My neighbours are very **noisy**.|The thunder was **deafening**.
easy / simple|easy — лёгкий; simple — простой|2026-04-26|learning||This task is very **easy**.|The recipe is **simple**.|It was an **easy** decision.
difficult / hard / tough / challenging|difficult — трудный; hard — сложный; tough — тяжёлый; challenging — требующий усилий|2026-04-26|learning||The exam was **difficult**.|It's **hard** to wake up early.|This year was **tough** for everyone.
important / significant / crucial / vital|important — важный; significant — значительный; crucial — решающий; vital — жизненно важный|2026-04-26|learning||This meeting is **important**.|There's been a **significant** change.|Sleep is **vital** for health.
funny / hilarious / amusing|funny — смешной; hilarious — уморительный; amusing — забавный|2026-04-26|learning||That joke was so **funny**.|The film was **hilarious**.|The story was quite **amusing**.
strange / weird / odd / bizarre|strange — странный; weird — необычный; odd — чудной; bizarre — диковинный|2026-04-26|learning||That's **strange** — I left my keys here.|He's a **weird** guy.|The most **bizarre** thing happened.
expensive / costly / pricey|expensive — дорогой; costly — затратный; pricey — недешёвый|2026-04-26|learning||This watch is very **expensive**.|Renovations are **costly**.|The restaurant is a bit **pricey**.
cheap / inexpensive / affordable|cheap — дешёвый (часто негат.); inexpensive — недорогой; affordable — доступный|2026-04-26|learning||I bought a **cheap** umbrella.|It was an **inexpensive** restaurant.|We need **affordable** housing.
begin / start / commence|begin — начинать (нейтр.); start — начинать (общее); commence — начинать (формал.)|2026-04-26|learning||The film **begins** at eight.|Let's **start** the meeting.|The ceremony will **commence** shortly.
end / finish / conclude|end — заканчивать (общее); finish — завершать (доделывать); conclude — заключать (формал.)|2026-04-26|learning||The party **ended** late.|Did you **finish** your homework?|The judge **concluded** the hearing.
ask / inquire|ask — спрашивать; inquire — справляться (формал.)|2026-04-26|learning||Can I **ask** you a question?|She **inquired** about the position.|He **asked** for directions.
answer / reply / respond|answer — ответить; reply — ответить (на сообщение); respond — реагировать|2026-04-26|learning||She **answered** the phone.|He **replied** to my email.|How will the market **respond**?
break / smash / shatter|break — ломать; smash — разбить; shatter — разбить вдребезги|2026-04-26|learning||He **broke** the glass.|She **smashed** the window with a hammer.|The vase **shattered** on the floor.
fix / repair / mend|fix — починить (общее); repair — отремонтировать; mend — заштопать|2026-04-26|learning||Can you **fix** my computer?|The mechanic **repaired** the car.|She **mended** the torn shirt.
show / display / demonstrate|show — показать; display — выставить; demonstrate — показать на примере|2026-04-26|learning||Let me **show** you the photos.|The shop **displays** new items in the window.|He **demonstrated** how to use it.
hide / conceal|hide — прятать; conceal — скрывать|2026-04-26|learning||She **hid** the gift in the closet.|He tried to **conceal** his anger.|The cat **hid** under the bed.
choose / pick / select|choose — выбирать; pick — выбирать (быстро); select — отбирать (формал.)|2026-04-26|learning||I'll **choose** the red one.|**Pick** any card.|The team **selected** five players.
buy / purchase|buy — купить; purchase — приобрести (формал.)|2026-04-26|learning||I want to **buy** a new phone.|She **purchased** the property last year.|He **bought** flowers for his wife.
get / receive / obtain|get — получить (общее); receive — получить (формал.); obtain — получить (с усилием)|2026-04-26|learning||I **got** your message.|She **received** the package.|He **obtained** a visa.
give / provide / offer|give — давать; provide — обеспечивать; offer — предлагать|2026-04-26|learning||She **gave** me a present.|We **provide** training for new staff.|He **offered** her a job.
make / create / produce|make — делать; create — создавать (творческое); produce — производить|2026-04-26|learning||She **made** a cake.|He **created** a beautiful painting.|The factory **produces** cars.
think / believe / suppose|think — думать; believe — верить (сильнее); suppose — полагать (предполагать)|2026-04-26|learning||I **think** he's right.|She **believes** in him.|I **suppose** you're tired.
know / understand / realize|know — знать; understand — понимать; realize — осознавать|2026-04-26|learning||I **know** the answer.|Do you **understand** the question?|She **realized** her mistake.
remember / recall|remember — помнить; recall — вспоминать (формал.)|2026-04-26|learning||I can't **remember** his name.|She **recalled** the events of that day.|Do you **remember** me?
go / leave / depart|go — идти; leave — уезжать; depart — отправляться (формал.)|2026-04-26|learning||I have to **go** now.|We're **leaving** tomorrow.|The train **departs** at noon.
come / arrive / return|come — приходить; arrive — прибывать; return — возвращаться|2026-04-26|learning||She **came** home late.|We **arrived** at the airport.|He **returned** from his trip.
find / discover / locate|find — находить (случайно); discover — открывать (новое); locate — находить (искомое)|2026-04-26|learning||I **found** my keys.|Scientists **discovered** a new planet.|We **located** the lost dog.
need / require|need — нуждаться; require — требовать (формал.)|2026-04-26|learning||I **need** more time.|This job **requires** experience.|She **needs** help.
want / wish / desire|want — хотеть; wish — желать; desire — желать сильно|2026-04-26|learning||I **want** a coffee.|I **wish** I were taller.|She **desires** success.
like / love / adore|like — нравиться; love — любить; adore — обожать|2026-04-26|learning||I **like** chocolate.|I **love** my family.|She **adores** her grandchildren.
hate / loathe / despise|hate — ненавидеть; loathe — испытывать отвращение; despise — презирать|2026-04-26|learning||I **hate** waiting in line.|She **loathes** spiders.|He **despises** dishonest people.
help / assist / support|help — помогать; assist — содействовать (формал.); support — поддерживать|2026-04-26|learning||Can you **help** me?|The nurse **assisted** the doctor.|We **support** local businesses.
work / labor|work — работать; labor — трудиться (тяжело)|2026-04-26|learning||She **works** at a hospital.|He **labored** in the fields.|I **work** from home.
walk / stroll / wander / march|walk — идти; stroll — прогуливаться; wander — бродить; march — маршировать|2026-04-26|learning||We **walk** to school every day.|They **strolled** through the park.|She **wandered** around the town.
run / sprint / jog|run — бежать; sprint — бежать со всех ног; jog — бежать трусцой|2026-04-26|learning||She **runs** every morning.|He **sprinted** to catch the bus.|I **jog** in the park on weekends.
talk / chat / discuss|talk — разговаривать; chat — болтать; discuss — обсуждать (серьёзно)|2026-04-26|learning||We **talked** for hours.|They **chatted** over coffee.|We **discussed** the project.
shout / yell / scream|shout — кричать; yell — орать; scream — визжать (от страха/боли)|2026-04-26|learning||He **shouted** her name across the field.|She **yelled** at the kids.|She **screamed** when she saw the spider.
whisper / mumble / mutter|whisper — шептать; mumble — бормотать (невнятно); mutter — ворчать|2026-04-26|learning||She **whispered** the secret in his ear.|He **mumbled** something I didn't understand.|She **muttered** under her breath.
laugh / giggle / chuckle|laugh — смеяться; giggle — хихикать; chuckle — посмеиваться|2026-04-26|learning||We all **laughed** at his joke.|The girls **giggled** in the corner.|He **chuckled** quietly to himself.
cry / weep / sob|cry — плакать; weep — лить слёзы (поэт.); sob — рыдать|2026-04-26|learning||The baby **cried** all night.|She **wept** silently.|He **sobbed** at the funeral.