english|variants|sources_count|first_source
invent|изобретать|1|Lesson 28 - 360 глаголов в разных временах 2.md
irregular|не правильный, не регулярный|2|Lesson 42 - 230 самых важных прилагательных в разных временах - часть 4.md
irreplaceable|незаменимый|1|Lesson 50 - Словообразование.md
irresponsible|безответственный|1|Lesson 50 - Словообразование.md
it isn't surprising that|Неудевительно|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
just|только что|1|Lesson 11 - Present Perfect Continuous vs Present Perfect Past Continuous vs Present Simple.md
just out of curiosity|чисто (просто) из любопытсва|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
knowledgeable|знающий|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
lack something|не хватать чего-то|1|Lesson 5 - Зависимые предлоги с существительными.md
lead to|привести к чему-то | ввести к чему-то|2|Lesson 4 - Зависимые предлоги с прилагательными 4.md
leading|ведущий|1|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
legal|законный, легальный|2|Lesson 42 - 230 самых важных прилагательных в разных временах - часть 4.md
let's eat out tonight|Давай поедим где нибудь сегодня вечером|1|Lesson 7 - 150 фразовых глаголов.md
live out|упускать, не включать|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
live up to my expectations|оправдать мои ожидания|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
logical|логичный|2|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
lonely|одинокий|1|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
long|длинный|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
longer|длиннее|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
look ahead|забегать вперед, смотря вперед|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look back|оглянуться|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look in|заглянуть, навестить|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look in on someone|заглянуть к кому-то|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look through|просмтаривать|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look up in|посмотреть, поискать(в справочнике, словаре, инструкций)|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
loyal|лояльный|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
lucky|удачливый, везучий | везучий|2|Lesson 39 - 230 самых важных прилагательных в разных временах - часть 1.md
magnificent|великолепный|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
mainly because of|в основном из-за|1|Lesson 47 - Наречия в английском часть 1.md
make  the right decision|принять правильное решение|1|Lesson 35 - 360 глаголов в разных временах 9.md
make a  decision|принять решение|1|Lesson 35 - 360 глаголов в разных временах 9.md
make a call|сделать звонок|1|Lesson 44 - do and make part 2.md
make a choice|сделать выбор|1|Lesson 43 - do and make часть 1.md
make a cup of coffee|сделать чашку кофе|1|Lesson 43 - do and make часть 1.md
make a cup of tea|сделать чашку чая|1|Lesson 43 - do and make часть 1.md
make a discovery|сделать открытие|1|Lesson 44 - do and make part 2.md
make a payment|сделать платеж|1|Lesson 44 - do and make part 2.md
make a phone call|сделать телефонный звонок|1|Lesson 44 - do and make part 2.md
make a remark|сделать замечание|1|Lesson 44 - do and make part 2.md
make a salad|приготовить салат|1|Lesson 43 - do and make часть 1.md
make a sandwitch|приготовить сэндвич|1|Lesson 43 - do and make часть 1.md
make a very favorable impression|произвести  очень блоагоприятное впечатление|1|Lesson 44 - do and make part 2.md
make an agreement|заключить соглашение|1|Lesson 44 - do and make part 2.md
make an offer|сделать предложение|1|Lesson 44 - do and make part 2.md
make comments|сделать комментарий|1|Lesson 44 - do and make part 2.md
make the right choice|сделать правильный выбор|1|Lesson 43 - do and make часть 1.md
make up for lost time|наверстать упущенное время|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
matter|иметь значение?|1|Lesson 33 - 360 глаголов в разных временах 7.md
maximum|максимальный|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
may|возможно|1|Lesson 46 - Модальные глаголы.md
measure|измеорять|1|Lesson 27 - 360 глаголов в разных временах.md
medical|медицинский|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
medical care|медицинский уход|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
medical treatment|медицинское лечение|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
might|возможно|1|Lesson 46 - Модальные глаголы.md
mistaken|ошибочный|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
misunderstand|неправильно понимать|1|Lesson 50 - Словообразование.md
misunderstanding|недопонимание|1|Lesson 50 - Словообразование.md
modest|скромный|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
more effective|эффективнее|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
more expensive|дороже|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
mostly|в основном|1|Lesson 47 - Наречия в английском часть 1.md
mostly because of|в основном из-за|1|Lesson 47 - Наречия в английском часть 1.md
motivated|мотивированный|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
move on to|перейти к чему-то|1|Lesson 7 - 150 фразовых глаголов.md
must|должен|1|Lesson 46 - Модальные глаголы.md
my elder brother|мой старший брат|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
mysterious|таинственный, загадочный|1|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
natural|натуральный | природный, натуральный|2|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
naturally|естественно|1|Lesson 48 - Наречия в английском часть 2.md
nearly|почти|1|Lesson 49 Наречия в английском часть 3.md
negative|отрицатальный, негативный|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
nice of|мило с чьей -то стороны|1|Lesson 3 - Зависимые предлоги с прилагательными 3.md
none of them|никто из них / ничего из них|1|Lesson 50 - Важные грамматические конструкций.md
not surprisingly|Неудевительно|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
not to include|упускать, не включать|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
objective|объеквтивный|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
occasionally|изредка|1|Lesson 47 - Наречия в английском часть 1.md
occupied with|занят кем-то|1|Lesson 9 - 320 зависимых предлогов.md
official|офциальный|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
oil|нефть|1|Lesson 34 - 360 глаголов в разных временах 8.md
old|старый|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
older|старше|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
on good terms|в хороших отношениях|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
opposite|напротив, наоборот|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
optimistic about|оптимистичный на счет чего-то|1|Lesson 11 - 320 зависимых предлогов.md
ordinary|обычный|3|Lesson 42 - 230 самых важных прилагательных в разных временах - часть 4.md
ought to|следует|1|Lesson 46 - Модальные глаголы.md
painful|болезненный|1|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
particularly keen on|особенно увлекаться чем-то|1|Lesson 1 - Зависимые предлоги с прилагательными.md
partly|частично|1|Lesson 49 Наречия в английском часть 3.md
passive|пассивный|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
past perfect|Действия, произошедшие раньше других действий в прошлом|1|Lesson 25 - 9 основных времен в англиском языке (своебразное обобщение) 2.md
patient|терпеливый, пациент|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
perfectly|идеально, прекрасно|1|Lesson 47 - Наречия в английском часть 1.md
place|размещать|1|Lesson 50 - Словообразование.md
pleasant|приятный|1|Lesson 50 - Словообразование.md
pleasent|приятный|1|Lesson 39 - 230 самых важных прилагательных в разных временах - часть 1.md
polito to|вежлив с|1|Lesson 2 - Зависимые предлоги с прилагательными 2.md
positive|позитивный|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
potential|потенциальный|1|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
potential threat|потенциальная угроза|1|Lesson 12 - Present Perfect Continuous vs Present Perfect Past Continuous vs Present Simple vs Past Continuous.md
power|мощь, сила|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
powerful|мощьный|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
practical|практичный|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
precious|ценный|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
present at|присутствующий где-то|1|Lesson 3 - Зависимые предлоги с прилагательными 3.md
present continuous|действие происходит прямо сейчас|1|Lesson 25 - 9 основных времен в англиском языке (своебразное обобщение) 2.md
present perfect|Действия, произошедшие в прошлом, но результат важен сейчас|1|Lesson 25 - 9 основных времен в англиском языке (своебразное обобщение) 2.md
present perfect continuous|действие начавшегося в прошлом и продоолжающегося до настоящего|1|Lesson 25 - 9 основных времен в англиском языке (своебразное обобщение) 2.md
previous|предыдущий|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
primary|главный, основной|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
private|частный|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
professional|профессиональный|1|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
professionally|профессионально|1|Lesson 50 - Словообразование.md
properly|должным образом, надлежащим образом, правильно|1|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
protection|защита|1|Lesson 28 - 360 глаголов в разных временах 2.md
psychological|психологический|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
public|общественный|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
punctual|пунктуальный|2|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
punctuality|пунктуальность|1|Lesson 8 - 320 зависимых предлогов.md
punish|наказывать, каратель|1|Lesson 35 - 360 глаголов в разных временах 9.md
put aside|отложить / отбросить в сторону|1|Lesson 6 - 150 важных фразовых глаголов часть 6.md
quote|цитата|1|Lesson 5 - Зависимые предлоги с существительными.md
rainy|дождливый|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
rare|редко|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
rational|рациональный|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
realistic|реалистичный|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
reasonable|разумный|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
register for|регистрироваться на что-то|1|Lesson 8 - 320 зависимых предлогов.md
regular|правильный, регулярный | регулярный. правильный|3|Lesson 42 - 230 самых важных прилагательных в разных временах - часть 4.md
related to each other|связаны с друг-другом|1|Lesson 1 - Зависимые предлоги с прилагательными.md
relatively|относительно|1|Lesson 47 - Наречия в английском часть 1.md
reliable|надежный|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
religious|религиозный|1|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
replace|заменять|1|Lesson 50 - Словообразование.md
resemble|быть похожим на кого-то|1|Lesson 3 - 150 важных фразовых глаголов часть 3.md
resistance to|сопровивление чему-то|1|Lesson 9 - 320 зависимых предлогов.md
respect|уважать, уважение|1|Lesson 32 - 360 глаголов в разных временах 6.md
responsible|ответственный|2|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
rude|грубый|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
run out of|закончится|1|Lesson 2 - 150 важных фразовых глаголов часть 2.md
salty|соленый|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
satisfactory|удовлитворительный|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
satisfied|удовлетворен|1|Lesson 50 - Словообразование.md
satistfied with|удовлетворен чем-то|1|Lesson 2 - Зависимые предлоги с прилагательными 2.md
sensation|сенсация|1|Lesson 49 Наречия в английском часть 3.md
sensible|разумный|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
short|короткий|1|Lesson 48 - Наречия в английском часть 2.md
shortly|кратко|1|Lesson 48 - Наречия в английском часть 2.md
shy|застенчивый|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
significant|значительный|2|Lesson 48 - Наречия в английском часть 2.md
significantly|значительно|1|Lesson 48 - Наречия в английском часть 2.md
similar|похожий|1|Lesson 45 - Артиклы.md
simple|простой|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
since|с какого-то времени в прошлом, если все еще происходит, то и указывает на Present Perfect Continuous|1|Lesson 11 - Present Perfect Continuous vs Present Perfect Past Continuous vs Present Simple.md
sincere|искренний|1|Lesson 35 - 450 самых важных прилагательных в разных временах - часть 4.md
slight|небольшой|1|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
slightly|немного, слегка|1|Lesson 49 Наречия в английском часть 3.md
sociable|общительный|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
sorry|сожалеть|1|Lesson 39 - 230 самых важных прилагательных в разных временах - часть 1.md
sound|звучать, звук|1|Lesson 32 - 360 глаголов в разных временах 6.md
source|источник|1|Lesson 5 - Зависимые предлоги с существительными.md
stable|стабильный|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
statement|заявление, утверждение|1|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
stop to do|остановиться что бы сделать что-то: I stopped to make a call|1|Lesson 26 - Когда использовать to а когда ing - форма.md
strict|строгий|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
study hard|работать учиться|1|Lesson 47 - Наречия в английском часть 1.md
stylish|стильный|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
substantial|существенный|1|Lesson 9 - 320 зависимых предлогов.md
successful|успешный|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
successfully|успешно|1|Lesson 47 - Наречия в английском часть 1.md
sudden|внезапный|1|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
supply|поставлять|1|Lesson 34 - 360 глаголов в разных временах 8.md
support|поддержка, поддерживать|1|Lesson 35 - 360 глаголов в разных временах 9.md
surgery|хирургия|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
surprise|удивлять|1|Lesson 33 - 360 глаголов в разных временах 7.md
surprised by / at|удивлен чем-то|1|Lesson 2 - Зависимые предлоги с прилагательными 2.md
surprised by/at|удивлен чем-то|1|Lesson 8 - 320 зависимых предлогов.md
survive|выживать|1|Lesson 32 - 360 глаголов в разных временах 6.md
take a decision|принять решение|1|Lesson 35 - 360 глаголов в разных временах 9.md
take it for granted|принимать это как должное|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
take it into account|принимать это во внимание|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
take the right decision|принять правильное решение|1|Lesson 35 - 360 глаголов в разных временах 9.md
technical|технический|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
temporary|временный|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
than her|чемо на|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
than him|чем он|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
than me|чем я|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
thanks to|благодаря кому-то/чему-то|1|Lesson 48 - Наречия в английском часть 2.md
the authorities|власти|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
the best|лучший|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
the highest|самый высокий|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
the longest|самый длинный|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
the most effective|самый эффективный|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
the most expensive|самый дорогой|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
the same age|одного возраста|1|Lesson 37 - Сравнительная и превосходная степень прилагательных 2.md
the whole truth|вся правда|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
the worst|самый плохой|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md
there are many visitors here|Здесь много поситителей / Имеется много поситителей здесь|1|Lesson 45 - Артиклы.md
there was a problem|Там была проблема / Была проблема|1|Lesson 45 - Артиклы.md
these days|в эти дни (указывает на Present Continuous)|1|Lesson 8 - Present Simple vs Present Continuous.md
thin|худой|1|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
threat|угроза|1|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
to be acquainted with|быть знаком с кем-то|1|Lesson 3 - Зависимые предлоги с прилагательными 3.md
to be fed up with|сыт по горло чем-то, надоело|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
to be frank|Откровенно говоря|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
to be grateful to|быть благодарным к кому-то|1|Lesson 3 - Зависимые предлоги с прилагательными 3.md
to be honest|честно/ честно говоря / если быть честным|1|Lesson 50 - Важные грамматические конструкций.md
to be lucky|везти|1|Lesson 39 - 230 самых важных прилагательных в разных временах - часть 1.md
to be short|короче говоря|1|Lesson 48 - Наречия в английском часть 2.md
to everyone's surprise|к всеобщему удивлению|1|Lesson 4 - 150 важных фразовых глаголов часть 4.md
to my great surprise|к моему большому удивлению|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
to my greatest surprise|к моему огромному удивлению|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
to my surprise|к моему удивлению|1|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
total|итоговый|2|Lesson 42 - 230 самых важных прилагательных в разных временах - часть 4.md
totally absorbed|полностью поглощен|1|Lesson 8 - 320 зависимых предлогов.md
totally unacceptable|совершенно неприемлимый|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
traditional|традиционный|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
treat|относиться, обращаться|1|Lesson 33 - 360 глаголов в разных временах 7.md
tremendous|огромный|1|Lesson 39 - 230 самых важных прилагательных в разных временах - часть 1.md
turn|поварачивать|1|Lesson 28 - 360 глаголов в разных временах 2.md
ugly|некрасивый, уродливый|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
unable|неспособен|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
unattractive|непривлекательный|1|Lesson 50 - Словообразование.md
unbelievable|неворятный|1|Lesson 50 - Словообразование.md
uncomfortable|неудобный | некомфортный|2|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
understanding|понимание|1|Lesson 50 - Словообразование.md
undoubtedly|Несмоненно|1|Lesson 49 Наречия в английском часть 3.md
unexpected|не ожиданный|1|Lesson 50 - Словообразование.md
unforeseen|непредвиденный|1|Lesson 9 - 320 зависимых предлогов.md
unimaginable|невооброзимый|1|Lesson 50 - Словообразование.md
unimportant|не важный|1|Lesson 50 - Словообразование.md
uninterested|не заинтересован|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
unique|уникальный|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
unjustly|несправедливо|1|Lesson 9 - 320 зависимых предлогов.md
unpopular|непопулярный|1|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
unprofessionally|не профессионально|1|Lesson 50 - Словообразование.md
unstable|нестабильный|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
unsure about|неуверен|1|Lesson 50 - Словообразование.md
unusual|необычный|1|Lesson 39 - 230 самых важных прилагательных в разных временах - часть 1.md
unwilling|не желающий|1|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
valuable|ценный|1|Lesson 50 - Словообразование.md
various|различный, разный|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
way of|способ чего-то|1|Lesson 5 - Зависимые предлоги с существительными.md
well known|хорошо известный|1|Lesson 36 - 450 самых важных прилагательных в разных временах - часть 5.md
whether|используем если есть уточнение да или нет?|1|Lesson 24 - Indirect question 2, Future in the Past.md
whole|весь, вся|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
willing|желающий|1|Lesson 37 - 450 самых важных прилагательных в разных временах - часть 6.md
with the help of|с помощью|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
work hard|работать усердно|1|Lesson 47 - Наречия в английском часть 1.md
worse|хуже|1|Lesson 36 - Сравнительная и превосходная степень прилагательных 1.md